,gbifKey
750,5564502
751,5569124
752,5578363
753,5590594
754,5594566
755,5602966
756,5618942
757,5634180
758,5681024
759,5947323
760,7067347
761,7169777
762,7225377
763,7331080
764,7331131
765,7364010
766,7377836
767,7401505
768,7431770
769,7449278
770,7457516
771,7671938
772,7688760
773,7723426
774,7804641
775,7843787
776,7849304
777,7854867
778,7873706
779,7874167
780,7927221
781,7958170
782,7966126
783,7976218
784,7998549
785,8004440
786,8047656
787,8051709
788,8179251
789,8203450
790,8307317
791,8377390
792,8411411
793,8417070
794,8429068
795,8539109
796,8596921
797,8731464
798,8849996
799,10629177
800,10682533
801,10890491
802,11071853
803,11401938
804,2637803
805,2637897
806,2660316
807,2661306
808,2661915
809,2662079
810,2678462
811,2678513
812,2680452
813,2680856
814,2690529
815,2704069
816,2706026
817,2711908
818,2742987
819,2759871
820,2763018
821,2765862
822,2770484
823,2807434
824,2809040
825,2813689
826,2815362
827,2815890
828,2816146
829,2842956
830,2845180
831,2845651
832,2884525
833,2896906
834,2910142
835,2921197
836,2922840
837,2925100
838,2958901
839,2970337
840,3033112
841,3037073
842,3037349
843,3039007
844,3082286
845,3153099
846,3154673
847,3169753
848,3172260
849,3190412
850,3234030
851,3234512
852,3580703
853,3590841
854,3600046
855,3608586
856,3620304
857,3648931
858,3662382
859,3702123
860,3751681
861,3780417
862,3832824
863,3867384
864,3867977
865,3877971
866,3880391
867,3933613
868,4000698
869,4031748
870,4070807
871,4081248
872,4096736
873,4117664
874,4135983
875,4136115
876,4154678
877,4164300
878,4187975
879,4204594
880,4204805
881,4256721
882,4257251
883,4277632
884,4375392
885,4894645
886,5278222
887,5286267
888,5294067
889,5323182
890,5324437
891,5327436
892,5332455
893,5334023
894,5340533
895,5357043
896,5367199
897,5378725
898,5382009
899,5398158
900,5415594
901,5524303
902,5557575
903,5571149
904,5572007
905,5603373
906,5643565
907,5649587
908,5669234
909,5685561
910,5706236
911,5838234
912,5929257
913,6292874
914,6393348
915,7307662
916,7330947
917,7333753
918,7334830
919,7495261
920,7497623
921,7533390
922,7557075
923,7655626
924,7696268
925,7769508
926,7778794
927,7804409
928,7832286
929,7855534
930,8070637
931,8119345
932,8136423
933,8179073
934,8211799
935,8215731
936,8254191
937,8373355
938,8604998
939,8646911
940,8767727
941,8948828
942,10987070
943,11615004
944,2497
945,2642853
946,2657378
947,2666512
948,2669951
949,2672305
950,2674652
951,2677734
952,2682988
953,2718760
954,2731779
955,2735428
956,2757202
957,2761987
958,2762394
959,2785402
960,2796787
961,2805837
962,2813680
963,2815131
964,2815185
965,2842734
966,2844600
967,2846842
968,2863160
969,2868654
970,2869203
971,2883467
972,2895768
973,2897122
974,2900104
975,2905962
976,2919529
977,2926981
978,2957323
979,2960367
980,2978095
981,2979265
982,3060625
983,3063542
984,3063568
985,3069535
986,3080486
987,3080701
988,3086266
989,3086366
990,3146791
991,3154675
992,3154939
993,3170352
994,3179997
995,3180248
996,3183376
997,3184767
998,3188895
999,3190173
1000,3571488
1001,3572043
1002,3573595
1003,3596965
1004,3600203
1005,3607991
1006,3620485
1007,3620970
1008,3643049
1009,3649380
1010,3651639
1011,3653825
1012,3658127
1013,3679808
1014,3725887
1015,3785095
1016,3786719
1017,3824423
1018,3850252
1019,3867499
1020,3874198
1021,3892173
1022,3921266
1023,3922483
1024,4000570
1025,4018984
1026,4020065
1027,4030923
1028,4051200
1029,4101525
1030,4151406
1031,4153493
1032,4153834
1033,4160388
1034,4164807
1035,4167265
1036,4172951
1037,4173035
1038,4195204
1039,4261682
1040,4923752
1041,5273070
1042,5278913
1043,5283402
1044,5292564
1045,5294824
1046,5305488
1047,5307619
1048,5312620
1049,5312660
1050,5312886
1051,5312902
1052,5319362
1053,5327961
1054,5329849
1055,5329937
1056,5337216
1057,5342354
1058,5350345
1059,5359477
1060,5383398
1061,5396776
1062,5402447
1063,5415382
1064,5418654
1065,5557212
1066,5570126
1067,5572141
1068,5577894
1069,5602094
1070,5603800
1071,5615576
1072,5615706
1073,5648430
1074,5659136
1075,5666951
1076,5670900
1077,5674972
1078,5678109
1079,5681445
1080,5938032
1081,6136257
1082,6301203
1083,7269291
1084,7269667
1085,7273413
1086,7273578
1087,7317467
1088,7319522
1089,7319666
1090,7322080
1091,7335697
1092,7364603
1093,7406282
1094,7439512
1095,7445848
