;Unnamed: 0.1;Unnamed: 0;coreid;idigbio:associatedsequences;idigbio:barcodeValue;dwc:basisOfRecord;dwc:bed;gbif:canonicalName;dwc:catalogNumber;dwc:class;dwc:collectionCode;dwc:collectionID;idigbio:collectionName;dwc:recordedBy;dwc:vernacularName;idigbio:commonnames;dwc:continent;dwc:coordinateUncertaintyInMeters;dwc:country;idigbio:isoCountryCode;dwc:county;dwc:datasetID;idigbio:eventDate;idigbio:dateModified;idigbio:dataQualityScore;dwc:earliestAgeOrLowestStage;dwc:earliestEonOrLowestEonothem;dwc:earliestEpochOrLowestSeries;dwc:earliestEraOrLowestErathem;dwc:earliestPeriodOrLowestSystem;idigbio:etag;dwc:eventDate;dwc:family;dwc:fieldNumber;idigbio:flags;dwc:formation;dwc:genus;dwc:geologicalContextID;idigbio:geoPoint;dwc:group;idigbio:hasImage;idigbio:hasMedia;dwc:higherClassification;dwc:highestBiostratigraphicZone;dwc:individualCount;dwc:infraspecificEpithet;dwc:institutionCode;dwc:institutionID;idigbio:institutionName;dwc:kingdom;dwc:latestAgeOrHighestStage;dwc:latestEonOrHighestEonothem;dwc:latestEpochOrHighestSeries;dwc:latestEraOrHighestErathem;dwc:latestPeriodOrHighestSystem;dwc:lithostratigraphicTerms;dwc:locality;dwc:lowestBiostratigraphicZone;dwc:maximumDepthInMeters;dwc:maximumElevationInMeters;idigbio:mediarecords;dwc:member;dwc:minimumDepthInMeters;dwc:minimumElevationInMeters;dwc:municipality;dwc:occurrenceID;dwc:order;dwc:phylum;idigbio:recordIds;dwc:recordNumber;idigbio:recordset;dwc:scientificName;dwc:specificEpithet;dwc:startDayOfYear;dwc:stateProvince;dwc:taxonID;dwc:taxonomicStatus;dwc:taxonRank;dwc:typeStatus;idigbio:uuid;dwc:verbatimEventDate;dwc:verbatimLocality;idigbio:version;dwc:waterBody
186223;220372;386944;e6fcd8f7-72d8-4410-b658-4d9c82b4aa57;;;preservedspecimen;;;uvmvt197251;polypodiopsida;;58ab88f3-0034-461c-9c44-9e525c4d360f;;;;;asia;;indonesia;idn;;;;2022-12-06T22:54:37.592850+00:00;0.2608695652173913;;;;;;85fa029ff61faf0d3cf7f764a8a9cbf8063d1207;;thelypteridaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added""]";;ampelopteris;;;;True;True;plantae|tracheobionta|pteridophyta|polypodiopsida|polypodiales|thelypteridaceae;;;;vt;;;plantae;;;;;;;;;;;"[""0482c44b-6f60-4a7c-82d3-3cd52f768159""]";;;;;c8c04813-17b0-4931-9b65-a4069e3f5aa5;polypodiales;pteridophyta;"[""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\12622600"", ""urn:uuid:c8c04813-17b0-4931-9b65-a4069e3f5aa5"", ""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\c8c04813-17b0-4931-9b65-a4069e3f5aa5""]";;3027c437-cdb3-4072-9410-5a46ec3b1fd5;ampelopteris;;;;306574.0;;genus;;e6fcd8f7-72d8-4410-b658-4d9c82b4aa57;;;;
189197;224021;391572;9991e01c-4c99-4e74-868a-596a648b0a52;;;preservedspecimen;;;cinc-b-0038448;jungermanniopsida;;b07db383-76ea-4924-8d81-17e490b09152;;verdoorn, fr.;;;asia;;indonesia;idn;;;1930-08-10T00:00:00+00:00;2022-12-06T22:34:15.339128+00:00;0.4057971014492754;;;;;;0ad828035768800607136c2942016b2595fbb1a5;1930-08;pallaviciniaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added""]";;mittenia;;;;False;False;plantae|bryobiotina|marchantiophyta|jungermanniopsida|pelliidae|pallaviciniales|pallaviciniaceae|mittenia;;;;cinc;;;plantae;;;;;;;res. priangan, g. pangrango;;;;;;;2800.0;;96e398f1-8b45-466e-9818-0f3587581226;pallaviciniales;marchantiophyta;"[""1701a75c-5a57-48c3-84c2-234a53f4c3e2\\96e398f1-8b45-466e-9818-0f3587581226"", ""1701a75c-5a57-48c3-84c2-234a53f4c3e2\\5885143"", ""1701a75c-5a57-48c3-84c2-234a53f4c3e2\\cinc-b-0038448"", ""urn:uuid:96e398f1-8b45-466e-9818-0f3587581226""]";s.n.;1701a75c-5a57-48c3-84c2-234a53f4c3e2;mittenia zollingeri;zollingeri;222.0;;189568.0;;species;type;9991e01c-4c99-4e74-868a-596a648b0a52;viii 1930;;;
189884;224881;393096;3a50d824-c833-4fe4-abfd-4fa17265c49c;;;preservedspecimen;;;tenn-b-0094252;jungermanniopsida;;71114e0e-7241-42da-9b87-80c4a0de5282;;v. schiffner;;;asia;4608.0;indonesia;idn;west java;;1894-05-14T00:00:00+00:00;2023-01-11T01:00:38.034603+00:00;0.4347826086956521;;;;;;14e31e1a9fd61e23688fb6fc74b1530fe17a1ddf;1894-05;lejeuneaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added"", ""taxon_match_failed""]";;pycnolejeunea;;"{""lat"": -6.746716, ""lon"": 107.032747}";;True;True;plantae|bryobiotina|marchantiophyta|jungermanniopsida|jungermanniidae|porellales|lejeuneaceae|pycnolejeunea;;;;tenn;;;plantae;;;;;;;java occ., res. priangan, g. gede, in decliv. orient., in horto mont. tjibodas [cibodas bot. gardens];;;;"[""d8a23f29-93d4-446c-86b0-5c020549cc3b""]";;;1420.0;;649af9f2-7d18-42c3-98d3-ff09e3f4e07a;porellales;marchantiophyta;"[""e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb\\649af9f2-7d18-42c3-98d3-ff09e3f4e07a"", ""urn:uuid:649af9f2-7d18-42c3-98d3-ff09e3f4e07a"", ""e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb\\4452037""]";439;e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb;pycnolejeunea imbricata;imbricata;134.0;java;192344.0;;species;;3a50d824-c833-4fe4-abfd-4fa17265c49c;v.1894;;;
192117;227505;397467;670ae621-7389-4f92-ba90-566796c75215;;;preservedspecimen;;;uvmvt127692;;;58ab88f3-0034-461c-9c44-9e525c4d360f;;;;;asia;;indonesia;idn;;;;2022-12-06T22:54:37.592850+00:00;0.2753623188405797;;;;;;c4872b2f784e9e261cd078c7f8d90bdefb855d1e;;poaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added""]";;apluda;;;;True;True;plantae|magnoliophyta|monocots|commelinids|poales|poaceae|apluda;;;;vt;;;plantae;;;;;;;java;;;;"[""44a68e35-f443-465b-b286-61029e142300""]";;;;;ea2f7f6b-6a2d-4a3e-aa72-73fde4d077c5;poales;magnoliophyta;"[""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\7229579"", ""3027c437-cdb3-4072-9410-5a46ec3b1fd5\\ea2f7f6b-6a2d-4a3e-aa72-73fde4d077c5"", ""urn:uuid:ea2f7f6b-6a2d-4a3e-aa72-73fde4d077c5""]";;3027c437-cdb3-4072-9410-5a46ec3b1fd5;apluda microstachya;microstachya;;;380308.0;;species;;670ae621-7389-4f92-ba90-566796c75215;;;;
192781;228265;398673;70faeb6d-74a9-4bf5-90fa-6e95ff845dd6;;;preservedspecimen;;;brit500409;;;fea81a47-2365-45cc-bef9-b6bbff7457e6;;j. a. j. verheijen;;;asia;;indonesia;idn;;;1974-07-18T00:00:00+00:00;2022-12-06T21:40:44.065507+00:00;0.3333333333333333;;;;;;cd04c7e98c0c083089608943a935369cdd2105b5;1974-07-18;orchidaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added"", ""taxon_match_failed""]";;oberonia;;;;False;False;plantae|magnoliophyta|monocots|asparagales|orchidaceae;;;;brit;;;plantae;;;;;;;lesser sunda isl. sumba.;;;;;;;;;d82a6780-9652-423e-b925-3edd900a8add;asparagales;magnoliophyta;"[""70abba3e-5f2a-4276-87f3-261706e24453\\d82a6780-9652-423e-b925-3edd900a8add"", ""urn:uuid:d82a6780-9652-423e-b925-3edd900a8add"", ""70abba3e-5f2a-4276-87f3-261706e24453\\27113583""]";4102;70abba3e-5f2a-4276-87f3-261706e24453;oberonia;;199.0;lesser sunda;187973.0;;genus;;70faeb6d-74a9-4bf5-90fa-6e95ff845dd6;;;;
193206;228765;399795;ad896964-7523-4504-82c3-c8190b9fd86e;;;preservedspecimen;;;101362497;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;a. kostermans;;;asia;;indonesia;idn;;;1951-06-21;2022-12-07T01:19:24.255503+00:00;0.3043478260869565;;;;;;42e212129966767a5e26654311bd2a5730ab7719;;dipterocarpaceae;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;shorea;;;;False;False;;;1.0;;mo;;;plantae;;;;;;;e. borneo. e. kutei. sg. yennbar region.;;;;;;;60.0;;urn:catalog:mo:tropicos:101362497;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101362497""]";kostermans 5373;5386d272-06c6-4027-b5d5-d588c2afe5e5;shorea roxb. ex c.f. gaertn.;undesignated;172.0;;40036194.0;;;;ad896964-7523-4504-82c3-c8190b9fd86e;;;;
193211;228771;399811;b02659e8-1425-475d-8143-d8cefe4cdb75;;;preservedspecimen;;;101309900;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;masahiro kato|et al.;;;asia;;indonesia;idn;;;1985-02-19;2022-12-07T01:19:24.255503+00:00;0.3188405797101449;;;;;;a6021184ceda86f719ac3569bf85f43c512fa5e5;;tectariaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;heterogonium;;"{""lat"": -3.2666667, ""lon"": 129.5833333}";;True;True;;;1.0;;mo;;;plantae;;;;;;;c. seram, manusela national park: along a trail between hatumete (sea level) and hoale pass (1770 m), southern slope of murkele ridge, kecamatan (district) tehoru.;;;610.0;"[""3c038f88-ab8b-45dc-8792-da0c77ec5924""]";;;0.0;;urn:catalog:mo:tropicos:101309900;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101309900""]";kato c-7172;5386d272-06c6-4027-b5d5-d588c2afe5e5;heterogonium ceramense holttum;ceramense;50.0;;50225086.0;;;;b02659e8-1425-475d-8143-d8cefe4cdb75;;;;
194876;230726;402787;64770e36-98c1-4176-977e-11c285f2ac8a;;;preservedspecimen;;;101318525;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;masahiro kato;;;asia;;indonesia;idn;;;1985-02-13;2022-12-07T01:19:24.255503+00:00;0.3188405797101449;;;;;;f4b4508da31086d1a0fffac32de47effc2a3914e;;davalliaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;humata;;"{""lat"": -3.2666667, ""lon"": 129.55}";;True;True;;;1.0;;mo;;;plantae;;;;;;;c. seram: along a trail between hatumete (sea level) and piliana (400 m) via wae (river) makariki (90 m), southern slope of murkele ridge, kecamatan (district) tehoru.;;;400.0;"[""0b1fdbac-d707-4aba-8da0-8b42766e6904""]";;;0.0;;urn:catalog:mo:tropicos:101318525;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101318525""]";kato c-6512;5386d272-06c6-4027-b5d5-d588c2afe5e5;humata pectinata (sm.) desv.;pectinata;44.0;;26623598.0;;;;64770e36-98c1-4176-977e-11c285f2ac8a;;;;
195142;231055;403180;4b041d0c-57c9-48f7-8f00-242a3f2c50d7;;;preservedspecimen;;;101309901;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;masahiro kato|et al.;;;asia;;indonesia;idn;;;1985-02-22;2022-12-07T01:19:24.255503+00:00;0.3188405797101449;;;;;;a0fc1030dbc530767c880113bba868efb6d0f1be;;tectariaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;heterogonium;;"{""lat"": -3.3, ""lon"": 129.5833333}";;True;True;;;1.0;;mo;;;plantae;;;;;;;c. seram, manusela national park: along a trail between hatumete (sea level) and hoale pass (1770 m), southern slope of murkele ridge, kecamatan (district) tehoru.;;;610.0;"[""1b2bbbe7-0166-4ca5-837e-d2b2341b266a""]";;;0.0;;urn:catalog:mo:tropicos:101309901;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101309901""]";kato c-7760;5386d272-06c6-4027-b5d5-d588c2afe5e5;heterogonium ceramense holttum;ceramense;53.0;;50225086.0;;;;4b041d0c-57c9-48f7-8f00-242a3f2c50d7;;;;
195496;231452;403717;feb59fc3-9ba1-4257-a5fa-f894c45a1bdd;;;preservedspecimen;;;100892414;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;deden girmansyah;;;asia;;indonesia;idn;south east sulawesi;;2006-03-21;2019-07-13T21:07:03.051928+00:00;0.3768115942028985;;;;;;afb829979ae5342e7ebf8dbc308dbafe3a312f19;;begoniaceae;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;begonia;;;;False;False;;;1.0;hirtissima;mo;;;plantae;;;;;;;kabupaten kolaka, kecamatan rante angin, desa tinukari. gunung mekongga.;;;1700.0;;;;700.0;;urn:catalog:mo:tropicos:100892414;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100892414""]";girmansyah 654;5386d272-06c6-4027-b5d5-d588c2afe5e5;begonia aptera subsp. hirtissima d. girmansyah & d.c. thomas;aptera;80.0;sulawesi;100441035.0;;;isotype;feb59fc3-9ba1-4257-a5fa-f894c45a1bdd;;;;
197700;234073;407572;a32c6e8b-65a2-4d9c-8e04-f60063ee9d38;;;preservedspecimen;;;ph00068931;;;019a3280-a69f-4312-bb30-8556e270f1a5;;e.f. de vogel;;;asia;;indonesia;idn;;;1979-07-02T00:00:00+00:00;2023-01-11T02:53:09.347243+00:00;0.3333333333333333;;;;;;2b6db6e44907f06a8c91a95cb1b580e16b86f3f8;1979-07-02;phyllanthaceae;;"[""idigbio_isocountrycode_added"", ""dwc_kingdom_suspect"", ""dwc_continent_added"", ""taxon_match_failed""]";;breynia;;;;True;True;plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|malpighiales|phyllanthaceae;;;;ph;;;plantae;;;;;;;sulawesi selatan, n shore of lake matano, e of nuha;;;;"[""3733fe7a-4b09-48e6-ad31-2a5aa69eb8bb""]";;;450.0;;d6f0a53f-7ccb-4cd2-8aae-306133620d46;malpighiales;magnoliophyta;"[""urn:uuid:d6f0a53f-7ccb-4cd2-8aae-306133620d46"", ""65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\24490356"", ""65536dcd-7bb2-44e5-af3f-4a13f08e53d0\\d6f0a53f-7ccb-4cd2-8aae-306133620d46""]";6057;65536dcd-7bb2-44e5-af3f-4a13f08e53d0;breynia;;183.0;;75083.0;;genus;;a32c6e8b-65a2-4d9c-8e04-f60063ee9d38;2-vii-1979;;;
206209;244246;420510;dd1f6258-bd79-4a30-970b-d81a6827f0d2;;;preservedspecimen;;;101124302;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;masahiro kato|et al.;;;asia;;indonesia;idn;;;1986-08-27;2019-07-13T21:07:03.051928+00:00;0.3188405797101449;;;;;;ae0ac92250551c437d3dc60344ea943d5e0719dc;;dryopteridaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;acrophorus;;"{""lat"": -3.2, ""lon"": 129.75}";;True;True;;;1.0;;mo;;;plantae;;;;;;;c. seram. manusela national park: along a trail from hunisi to muselleinan pass (1280 m), kecamatan (district) tehoru.;;;1280.0;"[""9c21871f-f227-463b-826c-8db3b280bbe7""]";;;550.0;;urn:catalog:mo:tropicos:101124302;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101124302""]";kato c14086;5386d272-06c6-4027-b5d5-d588c2afe5e5;acrophorus nodosus c. presl;nodosus;239.0;;26611536.0;;;;dd1f6258-bd79-4a30-970b-d81a6827f0d2;;;;
207067;245256;421642;b08c2f4c-1f40-401e-b1f6-150ae8b02302;;;preservedspecimen;;;101124297;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;masahiro kato|et al.;;;asia;;indonesia;idn;;;1986-07-29;2019-07-13T21:07:03.051928+00:00;0.3188405797101449;;;;;;e764ce92b1325717eef80a6e2b75303cc9ad6761;;dryopteridaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;acrophorus;;"{""lat"": -3.2166667, ""lon"": 129.5666667}";;True;True;;;1.0;;mo;;;plantae;;;;;;;c. seram. manusela national park: along a trail jl. pipileina) from piliana to gunung (mt.) sinaunia (2190 m), southern slope of murkele ridge, kecamatan (district) tehoru.;;;2030.0;"[""08551b85-bade-4745-a278-89d7cd99775b""]";;;1390.0;;urn:catalog:mo:tropicos:101124297;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101124297""]";kato c12472;5386d272-06c6-4027-b5d5-d588c2afe5e5;acrophorus nodosus c. presl;nodosus;210.0;;26611536.0;;;;b08c2f4c-1f40-401e-b1f6-150ae8b02302;;;;
207863;246161;422716;7924475b-6e54-4005-98a5-c84cf762ff68;;;preservedspecimen;;;101124272;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;masahiro kato|et al.;;;asia;;indonesia;idn;;;1983-11-30;2019-07-13T21:07:03.051928+00:00;0.3188405797101449;;;;;;800577e39e2e6d698df638719462b25afc3713ef;;dryopteridaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;acrophorus;;"{""lat"": -3.0666667, ""lon"": 129.5666667}";;True;True;;;1.0;;mo;;;plantae;;;;;;;c. seram. manusela national park: along a trail between wae (river) mamahala (1300 m) and solea until wae (river) makilahu (1320 m) via the summit of gunung (mt.) kobipoto (1490 m). kecamatan (district) seram utara.;;;1490.0;"[""bed2e3db-69b7-4b6c-96c3-c129a35cea25""]";;;1300.0;;urn:catalog:mo:tropicos:101124272;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101124272""]";kato c1910;5386d272-06c6-4027-b5d5-d588c2afe5e5;acrophorus nodosus c. presl;nodosus;334.0;;26611536.0;;;;7924475b-6e54-4005-98a5-c84cf762ff68;;;;
208842;247271;424341;1d11c94e-e261-4a40-8db9-7cb6bf018f7c;;;preservedspecimen;;;tenn-b-0018967;bryopsida;;71114e0e-7241-42da-9b87-80c4a0de5282;;l. j. brass;;;asia;26924.0;indonesia;idn;;;1938-11-12T00:00:00+00:00;2023-01-11T01:00:38.034603+00:00;0.391304347826087;;;;;;c7bf1f18c2da0f6af3deb85863bd53e44cb3ea51;1938-11;dicranaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added"", ""taxon_match_failed""]";;dicranoloma;;"{""lat"": -4.125986, ""lon"": 138.682352}";;True;True;plantae|bryobiotina|bryophyta|bryopsida|dicranidae|dicranales|dicranaceae|dicranoloma;;;;tenn;;;plantae;;;;;;;18 km. ne. of lake habbema, bele river;;;;"[""d8e1cf37-b830-4c7c-9606-60150682a972"", ""c4b7b8d3-7d7c-4fb9-90f5-49a1d132799f""]";;;;;3cce188b-07b5-4225-82dc-63a687f55729;dicranales;bryophyta;"[""e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb\\6053273"", ""e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb\\3cce188b-07b5-4225-82dc-63a687f55729""]";11518;e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb;dicranoloma braunii;braunii;316.0;;223942.0;;species;;1d11c94e-e261-4a40-8db9-7cb6bf018f7c;nov. 1938;;;
208987;247432;424682;10fd8c39-b613-435e-9bf9-2059d7839d92;;;preservedspecimen;;;100949460;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;jan t. johansson|h. nybom|s. riebe;;;asia;;indonesia;idn;;;1981-03-02;2019-07-13T21:07:03.051928+00:00;0.3188405797101449;;;;;;b77614c4ea1645a78db8abefbb93a516a1db4162;;thymelaeaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;phaleria;;"{""lat"": -1.1666667, ""lon"": 120.1666667}";;False;False;;;1.0;;mo;;;plantae;;;;;;;c. sulawesi, e of tongoa. primary forest with bamboo.;;;;;;;725.0;;urn:catalog:mo:tropicos:100949460;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100949460""]";johansson 115;5386d272-06c6-4027-b5d5-d588c2afe5e5;phaleria coccinea (gaudich.) f. muell.;coccinea;61.0;sulawesi;50315150.0;;;;10fd8c39-b613-435e-9bf9-2059d7839d92;;;;
209026;247472;424724;bf22f0b4-a541-4e3c-92b7-ddbb0fe9d294;;;preservedspecimen;;;100954313;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;e.f. de vogel|vermeulen, *;;;asia;;indonesia;idn;north sulawesi;;1985-03-13;2019-07-13T21:07:03.051928+00:00;0.3333333333333333;;;;;;1277aa59a4aed3fa34f8bc799f351494ae1f50a5;;thymelaeaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;phaleria;;"{""lat"": 0.5666667, ""lon"": 123.9}";;False;False;;;1.0;;mo;;;plantae;;;;;;;celebes, sulawesi utara, bolaan mongondow, dumoga bone national park, toraut. slightly disturbed primary forest, some 35 m high, along the toraut river on bank near the water.;;;;;;;220.0;;urn:catalog:mo:tropicos:100954313;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100954313""]";de vogel 6505;5386d272-06c6-4027-b5d5-d588c2afe5e5;phaleria jack;undesignated;72.0;sulawesi;40006202.0;;;;bf22f0b4-a541-4e3c-92b7-ddbb0fe9d294;;;;
209584;248082;425434;d096d69f-ecf5-40ad-a2d5-b56b589ecd51;;;preservedspecimen;;;101097340;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;rani asmarayani|amir mohammad;;;asia;;indonesia;idn;;;2011-06-20;2019-07-13T21:07:03.051928+00:00;0.3188405797101449;;;;;;ec69983a82196b804e77acb864e3a816bd9c803a;;undesignated;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": -4.7964722, ""lon"": 119.8526389}";;False;False;;;3.0;;mo;;;plantae;;;;;;;sulawesi selatan, kabupaten maros, kecamatan mallawa, desa samaenre, dusun bonto sirih, bantimurung-bulusaraung national park: lodung hill.;;;;;;;637.0;;urn:catalog:mo:tropicos:101097340;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101097340""]";asmarayani ra 536;5386d272-06c6-4027-b5d5-d588c2afe5e5;orchidaceae juss.;undesignated;171.0;sulawesi;42000388.0;;;;d096d69f-ecf5-40ad-a2d5-b56b589ecd51;;;;
209855;248409;425878;0ed81847-f173-4aae-a279-87532d2740d3;;;preservedspecimen;;;tenn-b-0094409;jungermanniopsida;;71114e0e-7241-42da-9b87-80c4a0de5282;;erik nyman;;;asia;5293.0;indonesia;idn;west java;;1898-01-14T00:00:00+00:00;2023-01-11T01:00:38.034603+00:00;0.4057971014492754;;;;;;e04335c510652d5d0d2d7f5064d9f0347b37bc34;1898;radulaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added"", ""taxon_match_failed""]";;radula;;"{""lat"": -6.754676, ""lon"": 107.026356}";;True;True;plantae|bryobiotina|marchantiophyta|jungermanniopsida|jungermanniidae|porellales|radulaceae|radula;;;;tenn;;;plantae;;;;;;;tjibodas [cibodas botanical garden];;;;"[""d0ee2f36-5caf-4a32-a3ba-0d72809e3c31""]";;;;;53aa8096-63fe-4c21-a1b6-6dffe8770bcf;porellales;marchantiophyta;"[""urn:uuid:53aa8096-63fe-4c21-a1b6-6dffe8770bcf"", ""e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb\\53aa8096-63fe-4c21-a1b6-6dffe8770bcf"", ""e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb\\4452068""]";;e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb;radula protensa;protensa;14.0;java;168828.0;;species;;0ed81847-f173-4aae-a279-87532d2740d3;1898?;;;
210030;248629;426271;5c7e2258-f6ef-49a9-9f0b-bb42f3790fe1;;;preservedspecimen;;;brit497038;;;fea81a47-2365-45cc-bef9-b6bbff7457e6;;j.a.j. verheijen;;;asia;;indonesia;idn;;;1972-03-28T00:00:00+00:00;2022-12-06T21:40:44.065507+00:00;0.3333333333333333;;;;;;5c9bddf564a95376bc31d1f15642c0a8b102ceb8;1972-03-28;phyllanthaceae;;"[""idigbio_isocountrycode_added"", ""dwc_continent_added"", ""taxon_match_failed""]";;antidesma;;;;False;False;plantae|magnoliophyta|eudicots|core eudicots|fabids|rosids|malpighiales|phyllanthaceae|antidesma;;;;brit;;;plantae;;;;;;;lesser sunda isl. flores;;;;;;;;;7f027f13-7458-4f4c-b1c5-b33fd2448f49;malpighiales;magnoliophyta;"[""urn:uuid:7f027f13-7458-4f4c-b1c5-b33fd2448f49"", ""70abba3e-5f2a-4276-87f3-261706e24453\\25201422"", ""70abba3e-5f2a-4276-87f3-261706e24453\\7f027f13-7458-4f4c-b1c5-b33fd2448f49""]";3100;70abba3e-5f2a-4276-87f3-261706e24453;antidesma bunius;bunius;88.0;;106426.0;;species;;5c7e2258-f6ef-49a9-9f0b-bb42f3790fe1;;;;
210505;249207;426964;a6f67875-29ab-44fb-9ca2-9aea232b5a41;;;preservedspecimen;;;100550856;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;tjut bangun|lalao andriamahefarivo|richard razakamalala|samsul lasut|ahmad yani;;;asia;;indonesia;idn;north maluku;;2012-12-06;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;075180224768c8f66e2a82af0860e2555b851424;;undesignated;2012.76;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": 0.6649167, ""lon"": 127.9735556}";;True;True;;;1.0;;mo;;;plantae;;;;;;;east halmahera. weda bay. kao rahai.;;;;"[""b4183480-8a55-4257-8afe-9a37fe703679"", ""4726d325-0bdf-4ee8-a155-f9fd63201e9c"", ""a5b1fe5e-9ca3-426b-8d12-e2838aa998c5"", ""5d26c0e4-aa81-4f74-af07-16daea09e545"", ""04cc2968-9246-467b-9217-92ead6fe544a"", ""dc4e8f65-8399-4ade-81ea-bdf0adb02302"", ""c5b688d0-5c90-4f24-ae9c-07f15aeb6b27""]";;;374.0;;urn:catalog:mo:tropicos:100550856;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100550856""]";bangun 252;5386d272-06c6-4027-b5d5-d588c2afe5e5;rutaceae juss.;undesignated;341.0;maluku islands;42000265.0;;;;a6f67875-29ab-44fb-9ca2-9aea232b5a41;;;;
