;idigbio_coreid;key_scientificName;gbif_key;gbif_scientificName;gbif_status;gbif_rank
508;2f8bd1aa-7f58-4f1c-b793-1582c7978fe4;diplora schizocarpa c. chr.;;;;
509;fa37351e-586e-4993-89d8-9740d355de91;diplora schizocarpa c. chr.;;;;
515;7011726e-2fdf-4d72-af6f-bf60c013d142;deparia boryana (willd.) m. kato;;;;
517;be22d12e-e90c-4bee-aaf7-96611eede54a;shorea roxb. ex c.f. gaertn.;;;;
518;47637b3f-3e6c-4da5-8a27-b8bcdb5ebaf4;undetermined;;;;
519;70f09d62-8aa5-4794-aa84-b91f11f1cf89;undetermined;;;;
520;31e9e326-8e4c-4aa3-9d6f-e084c90b5f4d;undetermined;;;;
524;b94a379f-f6fe-4d35-acc9-e7e8f88a00a6;undetermined;;;;
525;025f2fb6-25c6-4bc8-b0d7-2c1ff2f70802;calanthe r. br.;;;;
529;b6cc1a19-b93c-4cb9-983e-d0a076aaab9a;gardenia j. ellis;;;;
530;2c4111d1-d9ae-4493-a27f-06f8e56d03b5;phaleria coccinea (gaudich.) f. muell.;;;;
531;909e9c0b-e5dc-437c-a3bb-3598b86817f9;barringtonia j.r. forst. & g. forst.;;;;
532;69f77b1b-d754-47f9-a487-906a6b5bd00b;syzygium p. browne ex gaertn.;;;;
533;95d12025-0792-45df-af15-c6c2a9fcab46;myrtaceae juss.;;;;
535;4a80d4b1-eefc-41d5-9d8e-db9c4156a7dc;cephalomanes c. presl;;;;
542;9c6443d7-f685-47bf-9b50-b8d504beef2c;acanthaceae juss.;;;;
543;61c9fbbb-c015-4246-b61f-348b19070b85;asclepiadaceae borkh.;;;;
544;0b5e5aa6-eb34-49ec-8d23-0726b6d93b36;orchidaceae juss.;;;;
545;f974f5c5-1e01-4468-96e3-47ed4365e6c0;orchidaceae juss.;;;;
546;c95d6743-7d27-415a-9c34-fc3749d749ef;orchidaceae juss.;;;;
547;e6340c35-cfbd-4705-a218-1daa29512f08;phaeanthus hook. f. & thomson;;;;
550;d03ab15f-83d5-4f31-976c-03e0cae6de9e;diplora schizocarpa c. chr.;;;;
552;a8dc0c1b-ec95-4d20-8913-a7e5b085645f;aglaia parviflora c. dc.;;;;
559;e24d3ab0-2956-4442-a595-7474bf5740d4;maesa perlaria (lour.) merr.;;;;
564;cee9dfa6-dbb2-4b86-961e-2f074c921807;calobryum blumei;;;;
566;399635f3-cdb8-4f19-b7b7-5bb194d135fe;humata vestita (blume) t. moore;;;;
567;475c0562-cbb6-42c2-9313-0817a4bc1910;sporobolus r. br.;;;;
569;fbb99a60-9493-43ee-bf2d-5c5693d14243;goniophlebium (blume) c. presl;;;;
571;96688d12-5459-4f16-94a2-0233db3fafdf;undetermined;;;;
579;b2b588da-8659-4ad6-92ff-52b66ddd6f23;embelia burm. f.;;;;
586;bae09a32-b240-48a3-a2db-411218c87834;atractylocarpus novoguinensis (broth. & geh.) d.h. norris & t.j. kop.;;;;
593;955c4f88-97d5-40dd-af90-702c111b0c0c;lomagramma sinuata c. chr.;;;;
600;64cb3cd8-ae1b-4fa9-a282-69db18e49724;undetermined;;;;
601;cf8ba804-9d51-445a-839b-ef1bd274938c;undetermined;;;;
607;e5c5eab9-7604-405b-afc3-16b3c129daa1;undetermined;;;;
610;1cda8b19-997d-4f73-9410-bb82395ed07b;rutaceae juss.;;;;
618;64f51f17-cafc-4b27-a69e-720062076522;weda fragarioides welzen;;;;
629;0b5c8bf9-542c-443e-a3cd-434c9d5ff3e9;undetermined;;;;
632;d88e055d-9980-4761-95bd-a273e5212b50;eria lobata rchb. f.;;;;
634;3f75a463-cff6-48a7-be60-be1cb98260aa;humata pedata (sm.) j. sm.;;;;
648;1c34026f-cb7d-44d8-a382-f27e2c5205ac;pycnolejeunea micholitzii;;;;
650;6672f51f-5226-4c69-88e5-15b2f520d0ae;embelia burm. f.;;;;
651;71dfed6a-555f-48a6-9665-93ab8dd2723d;ardisia recurvata c.m. hu;;;;
653;27a086ef-5a61-4fef-a13f-59dcbf0ee9b8;undetermined;;;;
654;d051444d-d069-4e91-89cf-c9df4a68d4c8;embelia burm. f.;;;;
671;fcb9ed82-8772-4419-84cc-df312b1d4363;rhacocarpus alpinus (c.h. wright) paris;;;;
674;5fffaa93-f5a2-4cf6-823a-e6e3b9f0dc45;undetermined;;;;
677;2f138f50-f5be-4464-8140-47e1ce3c3984;humata alpina t. moore;;;;
678;1bb1ffab-47d0-4ff9-ab26-97422c9155a7;poaceae barnhart;;;;
682;7ba54179-1ba9-491a-aa2e-0433206ffec9;undetermined;;;;
