;usageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;species;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;synonym;class;acceptedUsageKey;note
465;5384950;Eclipta prostrata (L.) L.;Eclipta prostrata;SPECIES;ACCEPTED;100;FUZZY;Plantae;Tracheophyta;Asterales;Asteraceae;Eclipta;Eclipta prostrata;6;7707728.0;220.0;414.0;3065.0;3086569.0;5384950.0;False;Magnoliopsida;;
466;2731882;Elaeis guineensis Jacq.;Elaeis guineensis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Arecales;Arecaceae;Elaeis;Elaeis guineensis;6;7707728.0;196.0;552.0;7681.0;2731881.0;2731882.0;False;Liliopsida;;
467;7290985;Elaeocarpus floribundus Blume;Elaeocarpus floribundus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Oxalidales;Elaeocarpaceae;Elaeocarpus;Elaeocarpus floribundus;6;7707728.0;220.0;7224021.0;2435.0;3152094.0;7290985.0;False;Magnoliopsida;;
468;8368501;Elaeocarpus grandiflorus J.E.Sm.;Elaeocarpus grandiflorus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Oxalidales;Elaeocarpaceae;Elaeocarpus;Elaeocarpus grandiflorus;6;7707728.0;220.0;7224021.0;2435.0;3152094.0;8368501.0;False;Magnoliopsida;;
469;7300561;Elatostema integrifolium (D.Don) Wedd.;Elatostema integrifolium;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Elatostema;Elatostema integrifolium;6;7707728.0;220.0;691.0;6639.0;2984362.0;7300561.0;False;Magnoliopsida;;
470;7300505;Elatostema lineolatum Wight;Elatostema lineolatum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Elatostema;Elatostema lineolatum;6;7707728.0;220.0;691.0;6639.0;2984362.0;7300505.0;False;Magnoliopsida;;
471;7300825;Elatostema platyphyllum Wedd.;Elatostema platyphyllum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Elatostema;Elatostema platyphyllum;6;7707728.0;220.0;691.0;6639.0;2984362.0;7300825.0;False;Magnoliopsida;;
472;8587551;Elatostema sinuatum (Blume) Hassk.;Elatostema sinuatum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Elatostema;Elatostema sinuatum;6;7707728.0;220.0;691.0;6639.0;2984362.0;8587551.0;False;Magnoliopsida;;
473;2735100;Eleiodoxa conferta (Griff.) Burret;Eleiodoxa conferta;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Arecales;Arecaceae;Eleiodoxa;Eleiodoxa conferta;6;7707728.0;196.0;552.0;7681.0;2735099.0;2735100.0;False;Liliopsida;;
474;5395928;Elephantopus mollis Kunth;Elephantopus mollis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Elephantopus;Elephantopus mollis;6;7707728.0;220.0;414.0;3065.0;3119618.0;5395928.0;False;Magnoliopsida;;
475;5395925;Elephantopus scaber L.;Elephantopus scaber;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Elephantopus;Elephantopus scaber;6;7707728.0;220.0;414.0;3065.0;3119618.0;5395925.0;False;Magnoliopsida;;
476;5395934;Elephantopus tomentosus L.;Elephantopus tomentosus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Elephantopus;Elephantopus tomentosus;6;7707728.0;220.0;414.0;3065.0;3119618.0;5395934.0;False;Magnoliopsida;;
477;2759871;Elettaria cardamomum (L.) Maton;Elettaria cardamomum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Elettaria;Elettaria cardamomum;6;7707728.0;196.0;627.0;4687.0;2759853.0;2759871.0;False;Liliopsida;;
478;2705953;Eleusine indica (L.) Gaertn.;Eleusine indica;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Eleusine;Eleusine indica;6;7707728.0;196.0;1369.0;3073.0;2705952.0;2705953.0;False;Liliopsida;;
479;2749556;Eleutherine bulbosa (Mill.) Urb.;Eleutherine bulbosa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Iridaceae;Eleutherine;Eleutherine bulbosa;6;7707728.0;196.0;1169.0;7698.0;2749552.0;2749556.0;False;Liliopsida;;
480;2742987;Eleutherine palmifolia (L.) Merr.;Eleutherine palmifolia;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Asparagales;Iridaceae;Sisyrinchium;Sisyrinchium palmifolium;6;7707728.0;196.0;1169.0;7698.0;8311345.0;5296421.0;True;Liliopsida;5296421.0;
481;4003864;Elytranthe parasitica (L.) Danser;Elytranthe parasitica;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Santalales;Loranthaceae;Elytranthe;Elytranthe parasitica;6;7707728.0;220.0;934.0;6663.0;7288126.0;4003864.0;False;Magnoliopsida;;
482;7330952;Embelia ribes Burm.fil.;Embelia ribes;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Ericales;Primulaceae;Embelia;Embelia ribes;6;7707728.0;220.0;1353.0;6674.0;2984886.0;7330952.0;False;Magnoliopsida;;
483;5401598;Emilia sonchifolia (L.) DC.;Emilia sonchifolia;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Emilia;Emilia sonchifolia;6;7707728.0;220.0;414.0;3065.0;3137995.0;7376217.0;True;Magnoliopsida;7376217.0;
484;3063652;Endospermum moluccanum (Teijsm. & Binn.) Kurz;Endospermum moluccanum;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Endospermum;Endospermum moluccanum;6;7707728.0;220.0;1414.0;4691.0;3063626.0;3063652.0;False;Magnoliopsida;;
485;2866113;Enhalus acoroides (L.f.) Royle;Enhalus acoroides;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Alismatales;Hydrocharitaceae;Enhalus;Enhalus acoroides;6;7707728.0;196.0;551.0;3721.0;2866112.0;2866113.0;False;Liliopsida;;
486;2976183;Entada gigas (L.) Fawc. & Rendle;Entada gigas;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Entada;Entada gigas;6;7707728.0;220.0;1370.0;5386.0;2976182.0;2976183.0;False;Magnoliopsida;;
487;2868272;Epipremnum pinnatum (L.) Engl.;Epipremnum pinnatum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Alismatales;Araceae;Epipremnum;Epipremnum pinnatum;6;7707728.0;196.0;551.0;6979.0;2868270.0;2868272.0;False;Liliopsida;;
488;4000415;Equisetum debile Roxb. ex Vaucher;Equisetum debile;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Equisetales;Equisetaceae;Equisetum;Equisetum ramosissimum;6;7707728.0;7228684.0;954.0;3105.0;2687913.0;2687940.0;True;Polypodiopsida;2687940.0;
489;2705428;Eragrostis amabilis (L.) Wight & Arn.;Eragrostis amabilis;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Eragrostis;Eragrostis viscosa;6;7707728.0;196.0;1369.0;3073.0;2705322.0;2705441.0;True;Liliopsida;2705441.0;
490;2705369;Eragrostis cilianensis (All.) Vignolo ex Janch.;Eragrostis cilianensis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Eragrostis;Eragrostis cilianensis;6;7707728.0;196.0;1369.0;3073.0;2705322.0;2705369.0;False;Liliopsida;;
491;3146683;Erigeron sumatrensis Retz.;Erigeron sumatrensis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Erigeron;Erigeron sumatrensis;6;7707728.0;220.0;414.0;3065.0;3146588.0;3146683.0;False;Magnoliopsida;;
492;3784078;Erioglossum rubiginosum (Roxb.) Blume;Erioglossum rubiginosum;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Sapindales;Sapindaceae;Lepisanthes;Lepisanthes rubiginosa;6;7707728.0;220.0;933.0;6657.0;7264784.0;3784961.0;True;Magnoliopsida;3784961.0;
493;3034425;Eryngium foetidum L.;Eryngium foetidum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Apiales;Apiaceae;Eryngium;Eryngium foetidum;6;7707728.0;220.0;1351.0;6720.0;3034387.0;3034425.0;False;Magnoliopsida;;
494;5349636;Erythrina subumbrans (Hassk.) Merr.;Erythrina subumbrans;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Erythrina;Erythrina subumbrans;6;7707728.0;220.0;1370.0;5386.0;2945830.0;5349636.0;False;Magnoliopsida;;
495;5349581;Erythrina variegata L.;Erythrina variegata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Erythrina;Erythrina variegata;6;7707728.0;220.0;1370.0;5386.0;2945830.0;5349581.0;False;Magnoliopsida;;
496;2759896;Etlingera elatior (Jack) R.M.Sm.;Etlingera elatior;SPECIES;ACCEPTED;100;HIGHERRANK;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Etlingera;Etlingera elatior;6;7707728.0;196.0;627.0;4687.0;2759895.0;2759896.0;False;Liliopsida;;
497;2760129;Etlingera megalocheilos (Griff.) A.D.Poulsen;Etlingera megalocheilos;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Etlingera;Etlingera megalocheilos;6;7707728.0;196.0;627.0;4687.0;2759895.0;2760129.0;False;Liliopsida;;
498;2760005;Etlingera solaris (Blume) R.M.Sm.;Etlingera solaris;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Etlingera;Etlingera solaris;6;7707728.0;196.0;627.0;4687.0;2759895.0;2760005.0;False;Liliopsida;;
499;3176384;Eucalyptus alba Reinw. ex Blume;Eucalyptus alba;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Myrtales;Myrtaceae;Eucalyptus;Eucalyptus alba;6;7707728.0;220.0;690.0;5014.0;7493935.0;3176384.0;False;Magnoliopsida;;
500;5416458;Eugenia uniflora L.;Eugenia uniflora;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Myrtales;Myrtaceae;Eugenia;Eugenia uniflora;6;7707728.0;220.0;690.0;5014.0;3177662.0;5416458.0;False;Magnoliopsida;;
501;5403117;Eupatorium chinense L.;Eupatorium chinense;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Eupatorium;Eupatorium chinense;6;7707728.0;220.0;414.0;3065.0;3142374.0;5403117.0;False;Magnoliopsida;;
502;3069535;Euphorbia antiquorum L.;Euphorbia antiquorum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia antiquorum;6;7707728.0;220.0;1414.0;4691.0;11397237.0;3069535.0;False;Magnoliopsida;;
