;Plant
711;Kleinhovia hospita L.
712;Koilodepas bantamense Hassk.
713;Koompassia malaccensis Benth.
714;Koordersiodendron pinnatum Merr.
715;Kopsia arborea Bl.
716;Kyllinga brevifolia Rottb.
717;Kyllinga monocephala Rottb.
718;Labisia pumila (Blume) Mez
719;Lactuca indica L.
720;Lactuca serriola L.
721;Lagenaria siceraria (Molina) Standl.
722;Lagerstroemia speciosa (L.) Pers.
723;Lagerstroemia tomentosa C. Presl
724;Lannea coromandelica (Houtt.) Merr.
725;Lansium parasiticum (Osbeck) K.C.Sahni & Bennet
726;Lantana camara L.
727;Laportea interrupta (L.) Chew
728;Lasianthus borneensis Merr.
729;Lawsonia inermis L.
730;Leea aculeata Blume ex Spreng.
731;Leea aequata L.
732;Leea asiatica (L.) Ridsdale
733;Leea indica (Burm.f.) Merr.
734;Leea sambucina Willd.
735;Leersia hexandra Sw.
736;Legazpia polygonoides (Benth.) T. Yamaz.
737;Legnephora moorei (F. Muell.) Miers
738;Lepisanthes alata (Blume) Leenh.
739;Lepisanthes amoena (Hassk) Leenh.
740;Lepisanthes fruticosa (Roxb.) Leenh.
741;Lepisanthes rubiginosa (Roxb.) Leenh.
742;Leucaena leucocephala (Lam.) de Wit
743;Leucas aspera (Willd.) Link
744;Leucas chinensis (Retz.) R.Br. Ex Sm.
745;Leucas lavandulifolia Sm.
746;Leucosyke capitellata (Poir.) Wedd.
747;Ligustrum sinense Lour.
748;Limnocharis flava (L.) Buchenau
749;Limnophila aromatica (Lam.) Merr.
750;Lindernia anagallis (Burm. f.) Pennell
751;Lindernia crustacea (L.) F.Muell.
752;Lithocarpus conocarpus (Oudem.) Rehder
753;Litsea cubeba (Lour.) Pers.
754;Litsea dilleniifolia P.Y. Pai & P.H. Huang
755;Litsea glutinosa (Lour.) C.B.Rob.
756;Livistona chinensis (Jacq.) R.Br. ex Mart.
757;Lophatherum gracile Brongn.
758;Loranthus parasiticus (L.) Merr.
759;Ludwigia adscendens (L.) H.Hara
760;Ludwigia erecta (L.) H.Hara
761;Ludwigia hyssopifolia (G.Don) Exell
762;Ludwigia longifolia (DC) H. Hara
763;Ludwigia octovalvis (Jacq.) P.H. Raven
764;Ludwigia peruviana (L.) H.Hara
765;Ludwigia prostrata Roxb.
766;Luffa acutangula (L.) Roxb.
767;Lunasia amara Blanco
768;Luvunga scandens (Roxb.) Buch.-Ham. ex Wight & Arn.
769;Lycopodiella cernua (L.) Pic. Serm.
770;Lygodium circinatum (Burm. f.) Sw.
771;Lygodium flexuosum (L.) Sw.
772;Lygodium longifolium (Willd.) Sw.
773;Lygodium microphyllum (Cav.) R. Br.
774;Macaranga aleuritoides F.Muell.
775;Macaranga denticulata (Blume) Müll.Arg.
776;Macaranga gigantea (Reichb.f. & Zoll.) Műll.Arg.
777;Macaranga hullettii King ex Hook.f.
778;Macaranga hypoleuca (Rchb.f. & Zoll.) Müll.Arg.
779;Macaranga indica Wight
780;Macaranga peltata (Roxb.) Müll.Arg.
781;Macaranga subpeltata K.Schum. & Lauterb.
782;Macaranga tanarius (L.) Müll.Arg.
783;Macaranga trichocarpa (Zoll.) Müll.Arg.
784;Macaranga triloba (Thunb.) Müll.Arg.
785;Macrolenes muscosa Bakh.f.
786;Macrosolen cochinchinensis (Lour.) Tiegh.
787;Macrosolen retusus Blume
788;Maesa ramentacea (Roxb.) A. DC.
789;Maesopsis eminii Engl.
790;Magnolia champaca (L.) Baill. ex Pierre
791;Magnolia liliifera (L.) Baill.
792;Magnolia singapurensis (Ridl.) H.Keng
793;Malaxis oculata (Rchb.) Kuntze.
794;Mallotus barbatus Müll.Arg.
795;Mallotus floribundus (Blume) Müll.Arg.
796;Mallotus japonicus (L.f.) Müll.Arg.
797;Mallotus lackeyi Elmer
798;Mallotus macrostachyus (Miq.) Müll.Arg.
799;Mallotus mollissimus (Geiseler) Airy Shaw
800;Mallotus paniculatus (Lmk) M.A.
801;Mallotus philippensis (Lmk) M.A.
802;Mallotus repandus (Willd.) Müll.Arg.
803;Malvaviscus arboreus Cav.
804;Mangifera caesia Jack
805;Mangifera foetida Lour.
806;Mangifera indica L.
807;Mangifera laurina Blume
808;Mangifera odorata Griff.
809;Manihot carthaginensis subsp. glaziovii (Müll.Arg.) Allem
810;Manihot esculenta Crantz
811;Manilkara zapota (L.) P.Royen
812;Mapania cuspidata (Miq.) Uittien
813;Maranta arundinacea L.
814;Maranthes corymbosa Blume
815;Marsdenia floribunda (Brongn.) Schltr.
816;Marsilea crenulata Desv.
817;Medinilla scortechinii King
818;Melaleuca leucadendra (L.) L.
819;Melanolepis multiglandulosa (Reinw. ex Blume) Rchb. & Zoll.
820;Melanthera biflora (L.) Wild
821;Melastoma malabathricum L.
822;Melia azedarach L.
823;Melicope denhamii (Seem.) T.G.Hartley
824;Melicope lunu-ankenda (Gaertn.) T.G. Hartley
825;Memecylon edule Roxb.
826;Memecylon paniculatum Jack
827;Mentha × piperita L.
828;Mentha canadensis L.
829;Mentha spicata L.
830;Merremia mammosa (Lour.) Hallier f.
831;Merremia peltata (L.) Merr.
832;Merremia tuberosa (L.) Rendle
833;Merremia umbellata (L.) Hallier f.
834;Merremia vitifolia (Burm. f.) Hallier f.
835;Mesua ferrea L.
836;Metroxylon sagu Rottb.
837;Michelia alba DC.
838;Microcos antidesmifolia (King) Burret
839;Microcos paniculata L.
840;Microcos tomentosa Sm.
841;Micromelum minutum Wight & Arn.
842;Mikania micrantha Kunth
843;Millettia sericea Wight & Arn.
844;Mimosa invisa Mart. ex Colla
845;Mimosa pigra L.
846;Mimosa pudica L.
847;Mimusops elengi L.
848;Mirabilis jalapa L.
849;Mitracarpus hirtus (L.) DC.
850;Mitragyna speciosa (Korth.) Havil.
851;Molineria capitulata (Lour.) Herb.
852;Molineria latifolia (Dryand. ex W.T.Aiton) Herb. ex Kurz
853;Momordica charantia L.
854;Monstera deliciosa Liebm.
855;Morinda citrifolia L.
856;Moringa oleifera Lam.
857;Morus alba L.
858;Morus macroura Miq.
859;Mucuna pruriens (L.) DC.
860;Mukia maderaspatana (L.) M.Roem
861;Muntingia calabura L.
862;Murdannia nudiflora (L.) Brenan
863;Murraya koenigii (L.) Spreng.
864;Murraya paniculata (L.) Jack
865;Musa × paradisiaca L.
866;Musa acuminata Colla
867;Musa balbisiana Colla
868;Musa sumatrana Becc.
869;Mussaenda frondosa L.
870;Mussaenda incana Wall.
871;Mussaenda pubescens W.T. Aiton
872;Myristica fragrans Houtt.
873;Myrmecodia pendans Merr. & Perry
874;Myrmecodia tuberosa Jack
875;Mytragyna speciosa (Korth.) Havil.
876;Nauclea calycina Bartl. ex DC.
877;Nauclea officinalis (Pierre ex Pit.) Merr. & Chun
878;Nauclea orientalis (L.) L.
879;Nauclea subdita (Korth.) Steud.
880;Neesia altissima (Blume) Blume
881;Nelumbo nucifera Gaertn.
882;Neolamarckia cadamba (Roxb.) Bosser
883;Neolitsea javanica (Blume) Backer
884;Neonauclea pallida (Reinw. ex Havil.) Bakh.f.
885;Nepenthes gracilis Korth.
886;Nepenthes mirabilis (Lour.) Druce
887;Nephelaphyllum pulchrum Blume
888;Nephelium lappaceum L.
889;Nephelium ramboutan-ake (Labill.) Leenh.
890;Nephrolepis acutifolia (Desv.) H. Christ
891;Nephrolepis biserrata (Sw.) Schott
892;Nephrolepis falcata (Cav.) C. Chr.
893;Neptunia oleracea Lour.
894;Nervilia aragoana Gaudich.
895;Nervilia plicata (Andrews) Schltr.
896;Nicandra physalodes (L.) Gaertn.
897;Nicotiana tabacum L.
898;Nigella sativa L.
899;Nopalea cochenillifera (L.) Salm-Dyck
900;Nothopanax scutellarium (Burm. f.) Merr.
901;Nyctanthes arbor-tristis L.
902;Nypa fruticans Wurmb
903;Ocimum × africanum Lour.
904;Ocimum americanum L.
905;Ocimum basilicum L.
906;Ocimum gratissimum L.
907;Ocimum tenuiflorum L.
908;Octomeles sumatrana Miq.
909;Oldenlandia corymbosa L.
910;Oldenlandia diffusa (Willd.) Roxb.
911;Oldenlandia prostrata (Blume) Kuntze
912;Oldenlandia verticillata L.
913;Oncosperma tigillarium (Jack) Ridl.
914;Ophiorrhiza mungos L.
915;Opuntia elatior Mill.
916;Opuntia ficus-indica (L.) Mill.
917;Oreocnide rubescens (Blume) Miq.
918;Ormocarpum sennoides (Willd.) DC.
919;Oroxylum indicum (L.) Kurz
920;Orthosiphon aristatus (Bl.) Miq.
921;Oryza minuta J.Presl
922;Oryza sativa L.
923;Ouratea sumatrana (Jack) Gilg
924;Oxalis barrelieri L.
925;Oxalis corniculata L.
926;Oxalis latifolia Kunth
927;Pachyrhizus erosus (L.) Urb.
928;Pachystachys coccinea (Aubl.) Nees
929;Paederia foetida L.
930;Palaquium hexandrum (Griff.) Baill.
931;Pandanus amaryllifolius Roxb.
932;Pandanus furcatus Roxb.
933;Pandanus tectorius Parkinson ex Du Roi
934;Pangium edule Reinw.
935;Panicum auritum J.Presl ex Nees
936;Panicum muticum Forssk.
937;Parameria laevigata (Juss.) Moldenke
938;Parkia speciosa Hassk.
939;Parkia timoriana (DC.) Merr.
940;Paspalum conjugatum P.J.Bergius
941;Paspalum dilatatum Poir.
942;Paspalum scrobiculatum L.
943;Paspalum vaginatum Sw.
944;Passiflora edulis Sims
945;Passiflora foetida L.
946;Pellionia repens (Lour.) Merr.
947;Pemphis acidula J.R. Forst.
948;Pennisetum purpureum Schumach.
949;Pentas lanceolata (Forssk.) Deflers
950;Peperomia pellucida (L.) Kunth
951;Pereskia bleo (Kunth) DC.
952;Pericampylus glaucus (Lam.) Merr.
953;Peronema canescens Jack
954;Persea americana Mill.
955;Persicaria barbata (L.) H.Hara
956;Persicaria lapathifolia (L.) Delarbre
957;Persicaria maculosa Gray
958;Petroselinum crispum (Mill.) Fuss
959;Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair
960;Phaleria macrocarpa (Scheff.) Boerl.
961;Phaseolus lunatus L.
962;Philodendron crassinervium Lindl.
963;Philodendron pinatifidum (Jacq.) Schott
964;Philodendron pusillum E.G.Gonç. & Bogner
965;Phlebodium aureum (L.) J. Sm.
966;Phragmites karka (Retz.) Trin. ex Steud.
967;Phrynium pubinerve Blume
968;Phyllanthus acidus (L.) Skeels
969;Phyllanthus buxifolius (Blume) Müll.Arg.
970;Phyllanthus emblica L.
971;Phyllanthus niruri L.
972;Phyllanthus pulcher Wall. ex Müll.Arg.
973;Phyllanthus reticulatus Poir.
974;Phyllanthus urinaria L.
975;Phymatosorus scolopendria (Burm. f.) Pic. Serm.
976;Physalis angulata L.
977;Physalis minima L.
978;Physalis peruviana L.
979;Phytolacca americana L.
980;Picria fel-terrae Lour.
981;Pilea microphylla (L.) Liebm.
982;Pimpinella alpina Koord.
983;Pinanga coronata (Blume ex Mart.) Blume
984;Pinanga crassipes Becc.
985;Pinanga patula Blume
986;Piper aduncum L.
987;Piper auritum Kunth
988;Piper baccatum Blume
989;Piper bantamense Blume
990;Piper betle L.
991;Piper caducibracteum C. DC.
992;Piper crocatum Ruiz & Pav.
993;Piper cubeba L.f.
994;Piper longum L.
995;Piper methysticum G.Forst.
996;Piper miniatum (Miq.) Blume
997;Piper nigrum L.
998;Piper retrofractum Vahl.
999;P iper sarmentosum Roxb.
1000;P iper umbellatum L.
1001;P iper crocatum Ruiz & Pav.
1002;P ipturus argenteus (G. Forst.) Wedd.
1003;P ipturus incanus Wedd.
1004;P isonia grandis R. Br.
1005;P isonia umbellifera (J.R. Forst. & G. Forst.) Seem.
1006;P isum sativum L.
1007;P lantago major L.
1008;P latycerium bifurcatum (Cav.) C. Chr
1009;P latycerium coronarium (Mull.) Desv.
1010;P lectranthus amboinicus (Lour.) Spreng.
1011;P lectranthus scutellarioides (L.) R.Br.
1012;P leopeltis heterocarpa (Blume) Bedd.
1013;P locoglottis lowii Rchb.f.
1014;P luchea indica (L.) Less.
1015;P lumbago zeylanica L.
1016;P lumeria alba L.
1017;P lumeria rubra L.
1018;P ogonatherum crinitum (Thunb.) Kunth
1019;P ogonatherum paniceum (Lam.) Hack.
1020;P ogostemon auricularius (L.) Hassk.
1021;P ogostemon cablin (Blanco) Benth.
1022;P oikilospermum suaveolens (Blume) Merr.
1023;P ollia condensata C.B.Clarke
1024;P ollia thyrsiflora (Bl.) Steud.
1025;P olyalthia rumphii (Bl.) Merr.
1026;P olygala paniculata L.
1027;P olygonum barbatum L.
1028;P olygonum persicaria L.
1029;P olyscias filicifolia (C.Moore ex E.Fourn.) L.H.Bailey
1030;P olyscias fruticosa (L.) Harms
1031;P olyscias scutellaria (Burm.f.) Fosberg
1032;P omatocalpa diffusum Breda
1033;P ometia pinnata J.R. Forst. & G. Forst.
1034;P ongamia pinnata (L.) Pierre
1035;P ortulaca oleracea L.
1036;P othos scandens L.
1037;P outeria campechiana (Kunth) Baehni
1038;P ouzolzia sanguinea (Blume) Merr.
1039;P ouzolzia zeylanica (L.) Benn.
1040;P remna cordifolia Roxb.
1041;P remna corymbosa Rottler & Willd.
1042;P remna divaricata Wall. ex Schauer
1043;P remna serratifolia L.
1044;P remna tomentosa Willd.
1045;P roiphys amboinensis (L.) Herb.
1046;P runus persica (L.) Batsch
1047;P seudelephantopus spicatus (B.Juss. ex Aubl.) Rohr ex C.F.Baker
1048;P sidium guajava L.
1049;P sophocarpus tetragonolobus (L.) D.C.
1050;P sychotria angulata Korth.
1051;P sychotria nervosa Sw.
1052;P sychotria viridiflora Reinw. ex Blume
1053;P teridophyta
1054;P teris biaurita L.
1055;P teris ensiformis Burm. f.
1056;P teris longifolia L.
1057;P ternandra azurea (Bl.) Burk.
1058;P ternandra caerulescens Jack
1059;P terocarpus indicus Willd.
1060;P terospermum heterophyllum Hance
1061;P terospermum subpeltatum C.B. Rob.
1062;P unica granatum L.
1063;P ycnarrhena novoguineensis Miq.
1064;P yrrosia nummulariifolia (Sw.) Ching
1065;P yrrosia piloselloides (L.) M.G. Price
1066;Q uercus infectoria G. Olivier
1067;R aphanus sativus L.
1068;R auvolfia serpentina (L.) Benth. ex Kurz
1069;R ennellia elliptica Korth.
1070;R ennellia speciosa (Wall. ex Kurz) Hook.f.
1071;R haphidophora megasperma Engl.
1072;R heum officinale Baill.
1073;R hinacanthus nasutus (L.) Kurz
1074;R hizophora apiculata Blume
1075;R hizophora mucronata Lam.
1076;R hodamnia cinerea Jack
1077;R hodoleia championii Hook. f.
1078;R hodomyrtus tomentosa (Aiton) Hassk.
1079;R icinus communis L.
1080;R inorea anguifera Kuntze
1081;R ivina humilis L.
1082;R orippa indica (L.) Hiern
1083;R osa × damascena Mill.
1084;R osa hybrida Hort.
1085;R otala mexicana Schltdl. & Cham.
1086;R otheca serrata (L.) Steane & Mabb.
1087;R othmannia macrophylla (Hook.f.) Bremek.
1088;R ourea mimosoides Planch.
1089;R ubus chrysophyllus Reinw. ex Miq.
1090;R ubus fraxinifolius Poir.
1091;R ubus mollucanus L.
1092;R ubus rosifolius Sm.
1093;R ubus sundaicus Blume
1094;R uellia napifera Zoll. & Moritzi
1095;R uellia simplex C.Wright
1096;R uellia squarrosa (Fenzl) Cufod.
1097;R uellia tuberosa L.
1098;R umex crispus L.
1099;R uta angustifolia Pers.
1100;S accharum officinarum L.
1101;S accharum spontaneum L.
1102;S adleria pallida Hook. & Arn.
1103;S agittaria trifolia L.
1104;S alacca zalacca (Gaertn.) Voss
1105;S alvia hispanica L.
1106;S alvia officinalis L.
1107;S ambucus javanica Blume
1108;S andoricum koetjape (Burm.f.) Merr.
1109;S ansevieria trifasciata Prain
1110;S antalum album L.
1111;S apindus rarak DC.
1112;S aurauia bracteolata DC.
1113;S aurauia bracteosa DC.
1114;S aurauia javanica (Nees) Hoogland
1115;S aurauia tristyla DC.
1116;S auropus androgynus (L.) Merr.
1117;S caevola taccada (Gaertn.) Roxb.
1118;S caphium affine (Mast.) Pierre
1119;S chefflera arboricola (Hayata) Merr.
1120;S chefflera aromatica (Blume) Harms
1121;S chefflera elliptica (Blume) Harms
1122;S chefflera grandiflora (A.C.Sm.) Frodin
1123;S chima wallichii Choisy
1124;S chismatoglottis calyptrata (Roxb.) Zoll. & Moritzi
1125;S chismatoglottis multiflora Ridl.
1126;s chizostachyum blumei Nees
1127;S chizostachyum brachycladum (Kurz) Kurz
1128;S chizostachyum zollingeri Steud.
1129;S chleichera oleosa (Lour.) Merr.
1130;S cirpus ternatanus Reinw. ex Miq.
1131;S claria laevis Willd.
1132;S cleria purpurascens Steud.
1133;S cleria sumatrensis Retz.
1134;S coparia dulcis L.
1135;S corodocarpus borneensis (Baill.) Becc.
1136;S currula atropurpurea (Blume) Danser
1137;S currula ferruginea (Jack) Danser
1138;S currula parasitica L.
1139;S echium edule (Jacq.) Sw.
1140;S elaginella caudata (Desv.) Spring.
1141;S elaginella doederleinii Hieron.
1142;S elaginella plana (Desv. ex Poir.) Hieron.
1143;S elaginella willdenowii (Desv. ex Poir.) Baker
1144;S elliguea feei Bory
1145;S enna alata (L.) Roxb.
1146;S enna hirsuta (L.) H.S.Irwin & Barneby
1147;S enna siamea (Lam.) H.S.Irwin & Barneby
1148;S enna tora (L.) Roxb.
1149;S ericocalyx crispus (L.) Bremek
1150;S esamum indicum L.
1151;S esbania grandiflora (L.) Pers.
1152;S horea robusta Gaertn.
1153;S ida acuta Burm.f.
1154;S ida retusa L.
1155;S ida rhombifolia L.
1156;S indora sumatrana Miq.
1157;S isyrinchium palmifolium L.
1158;S mallanthus sonchifolius (Poepp.) H.Rob.
1159;S milax borneensis A.DC.
1160;S milax calophylla Wall. ex A.DC.
1161;S milax glauca Walter
1162;S milax herbacea L.
1163;S milax leucophylla Blume
1164;S milax rotundifolia L.
1165;S milax tamnoides L.
1166;S milax zeylanica L.
1167;S olanum aculeatissimum Jacq.
1168;S olanum betaceum Cav.
1169;S olanum erianthum D. Don
1170;S olanum ferox L.
1171;S olanum lycopersicum Lam.
1172;S olanum mammosum L.
1173;S olanum melongena L.
1174;S olanum muricatum Aiton
1175;S olanum nigrum L.
1176;S olanum quitoense Lam.
1177;S olanum sanitwongsei W. G. Craib
1178;S olanum torvum Sw.
1179;S olanum tuberosum L.
1180;S olanum verbascifolium L.
1181;S onchus arvensis L.
1182;S onchus asper (L.) Hill
1183;S onchus oleraceus (L.) L.
1184;S onneratia alba Sm.
1185;S onneratia caseolaris (L.) Engl.
1186;S pathiphyllum commutatum Schott
1187;S pathiphyllum phryniifolium Schott
1188;S pathoglottis plicata Blume
1189;S patholobus ferrugineus (Zoll. & Moritzi) Benth.
1190;S patholobus suberectus Dunn
1191;S permacoce alata Aubl.
1192;S permacoce exilis (L.O.Williams) C.D.Adams ex W.C.Burger & C.M.Taylor
1193;S phaeranthus indicus L.
1194;S phaeropteris glauca (Blume) R.M. Tryon
1195;S pigelia anthelmia L.
1196;S pilanthes acmella (L.) L.
1197;S pilanthes iabadicensis A.H.Moore
1198;S pondias dulcis Parkinson
1199;S pondias mombin L.
1200;S pondias pinnata (L.f.) Kurz
1201;S porobolus indicus (L.) R.Br.
1202;S tachytarpheta cayennensis (Rich.) Vahl
1203;S tachytarpheta indica (L.) Vahl
1204;S tachytarpheta jamaicensis (L.) Vahl
1205;S tachytarpheta mutabilis (Jacq.) Vahl
1206;S taurogyne elongata Kuntze
1207;S telechocarpus burahol (Blume) Hook.f. & Thomson
1208;S tellaria vestita Kurz
1209;S tenochlaena palustris (Burm. f.) Bedd.
1210;S tephania capitata (Blume) Spreng.
1211;S tephania hernandiifolia (Willd.) Walp.
1212;S tephania japonica (Thunb.) Miers
1213;S terculia ceramica R. Br.
1214;S terculia foetida L.
1215;S terculia lanceolata Cav.
1216;S treblus asper Lour.
1217;S treblus elongatus (Miq.) Corner
1218;S trobilanthes formosanus S. Moore
1219;S trophanthus gratus (Wall. & Hook.) Baill.
1220;S truchium sparganophorum (L.) Kuntze
1221;S uregada multiflora (A.Juss.) Baill.
1222;S wietenia macrophylla King
1223;S wietenia mahagoni (L.) Jacq.
1224;S ymphytum officinale L.
1225;S ymplocos cochinchinensis (Lour.) S.Moore
1226;S ymplocos fasciculata Zoll.
1227;S ymplocos molinae L.O.Williams
1228;S ymplocos odoratissima Choisy ex Zoll.
1229;S ynedrella nodiflora (L.) Gaertn.
1230;S yzygium antisepticum (Bl.) Merr. & Perry
1231;S yzygium aqueum (Burm.f.) Alston
1232;S yzygium aromaticum (L.) Merr. & L.M.Perry
1233;S yzygium borneense (Miq.) Miq.
1234;S yzygium cumini (L.) Skeels
1235;S yzygium jambos (L.) Alston
1236;S yzygium lineatum (DC.) Merr. & L.M.Perry
1237;S yzygium malaccense (L.) Merr. & L.M. Perry
1238;S yzygium polyanthum (Wight) Walp.
1239;S yzygium polycephalum (Miq.) Merr. & L.M.Perry
1240;S yzygium samarangense (Blume) Merr. & L.M.Perry
1241;S yzygium setosum (King) I.M.Turner
1242;T abernaemontana corymbosa Roxb. ex Wall.
1243;T abernaemontana dichotoma Roxb. ex Wall.
1244;T abernaemontana divaricata (L.) R.Br. ex Roem. & Schult.
1245;T abernaemontana pandacaqui Lam.
1246;T acca palmatifida Baker
1247;T acca palmata Blume
1248;T agetes erecta L.
1249;T alinum fruticosum (L.) Juss.
1250;T alinum paniculatum (Jacq.) Gaertn.
1251;T alipariti simile (Blume) Fryxell
1252;T amarindus indica L.
1253;T araxacum campylodes G.E. Haglund
1254;T araxacum officinale (L.) Weber ex F.H.Wigg.
1255;T ectaria subpedata (Harr.) Ching
1256;T ectaria zeylanica (Houtt.) Sledge
1257;T ectona grandis L.f
1258;T erminalia catappa L.
1259;T etracera alnifolia Willd.
1260;T etracera indica (Christm. & Panz.) Merr.
1261;T etracera maingayi Hoogland
1262;T etracera scandens (L.) Merr.
1263;T etrastigma dichotomum Planch.
1264;T etrastigma lanceolarium (Roxb.) Planch.
1265;T haumatococcus daniellii (Benn.) Benth.
1266;T helypteris palustris (A. Gray) Schott
1267;T helypteris terminans (J. Sm.) Tagawa & K. Iwats.
1268;T hemeda arguens (L.) Hack.
1269;T hemeda gigantea (Cav.) Hack. ex Duthie
1270;T heobroma cacao L.
1271;T hespesia lampas (Cav.) Dalzell
1272;T hespesia populnea (L.) Sol. ex Corrêa
1273;T hottea tomentosa (Blume) Ding Hou
1274;T hunbergia erecta (Benth.) T.Anderson
1275;T hunbergia fragrans Roxb.
1276;T imonius flavescens (Jacq.) Baker
1277;T imonius hirsutus Merr.
1278;T imonius wallichianus (Korth.) Valeton
1279;T imonius timon (Spreng.) Merr.
1280;T inospora cordifolia (Willd.) Miers.
1281;T inospora crispa (L.) Hook. f. & Thomson
1282;T inospora glabra (Burm. f.) Merr.
1283;T inospora tuberculata Beumée ex K.Heyne
1284;T ithonia diversifolia (Hemsl.) A.Gray
1285;T oddalia asiatica (L.) Lam.
1286;T oona ciliata M.Roem.
1287;T oona sureni (Bl.) Merr.
1288;T radescantia spathacea Sw.
1289;T rema orientalis (L.) Blume
1290;T rema tomentosa (Roxb.) H. Hara
1291;T revesia burckii Boerl.
1292;T revesia palmata (Roxb. ex Lindl.) Vis.
1293;T revesia sundaica Miq.
1294;T ribulus terrestris L.
1295;T richosanthes tricuspidata Lour
1296;T ridax procumbens (L.) L.
1297;T rigonella foenum-graecum L.
1298;T rigonostemon heteranthus Wight
1299;T ristania obovata R.Br.
1300;T ristaniopis merguensis Griff.
1301;T ristaniopsis whiteana (Griff.) Peter G.Wilson & J.T.Waterh.
1302;T riumfetta rhomboidea Jacq.
1303;T urnera ulmifolia L.
1304;T ylophora flexuosa R. Br.
1305;T yphonium flagelliforme (Lodd.) Blume
1306;U ncaria cordata (Lour.) Merr.
1307;U ncaria gambir (Hunter) Roxb.
1308;U ncaria lanosa var. ferrea (Blume) Ridsdale
1309;U ncaria longiflora (Poir.) Merr.
1310;U ncaria sclerophylla (Hunter) Roxb.
1311;U raria crinita (L.) Desv. ex DC.
1312;U raria lagopodioides (L.) DC.
1313;U rena lobata L.
1314;U rticastrum decumanum (Roxb.) Kuntze
1315;U snea barbata (L.) Weber ex F.H. Wigg.
1316;U snea misaminensis (Vain.) Motyka
1317;V accinium varingiaefolium Miq.
1318;V aleriana javanica Bl.
1319;V anilla planifolia Jacks. ex Andrews
1320;V ernonia amygdalina Delile
1321;V eronica arborea Buchanan
1322;V igna marina (Burm.) Merr.
1323;V igna radiata (L.) R. Wilczek
1324;V igna unguiculata (L.) Walp.
1325;V illebrunea semicrenata Blume
1326;V iola hastata Michx.
1327;V itex cofassus Reinw. ex Bl.
1328;V itex negundo L.
1329;V itex pinnata L.
1330;V itex trifolia L.
1331;V itis cissoides (Blume) Backer
1332;V oacanga foetida (Blume) Rolfe
1333;W edelia urticaefolia (Blume) DC. ex Wight
1334;W einmannia blumei Planch.
1335;W illughbeia coriacea Wall.
1336;W ollastonia biflora (L.) DC.
1337;W oodfordia fruticosa (L.) Kurz
1338;X anthophyllum vitellinum (Blume) D.Dietr.
1339;X anthosoma sagittifolium (L.) Schott
1340;X ylocarpus granatum J. Koenig
1341;X ylocarpus moluccensis (Lam.) M.Roem.
1342;Y oungia japonica (L.) DC.
1343;Z ea mays L.
1344;Z ephyranthes candida (Lindl.) Herb.
1345;Z ephyranthes rosea Lindl.
1346;Z ingiber montanum (J.Koenig) Link ex A.Dietr.
1347;Z ingiber officinale Roscoe
1348;Z ingiber zerumbet (L.) Roscoe ex Sm.
1349;Z iziphus jujuba Mill.
