;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;synonym;class;species;speciesKey;note
1319;4179471;4179558.0;Dehaasia media (Nees) Blume;Dehaasia media;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Laurales;Lauraceae;Dehaasia;6;7707728.0;220.0;407.0;6688.0;7304407.0;True;Magnoliopsida;Dehaasia incrassata;4179558.0;
1320;4179451;4179558.0;Dehaasia microcarpa Blume;Dehaasia microcarpa;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Laurales;Lauraceae;Dehaasia;6;7707728.0;220.0;407.0;6688.0;7304407.0;True;Magnoliopsida;Dehaasia incrassata;4179558.0;
1321;2956176;;Delonix regia (Bojer ex Hook.) Raf.;Delonix regia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Delonix;6;7707728.0;220.0;1370.0;5386.0;2956165.0;False;Magnoliopsida;Delonix regia;2956176.0;
1322;5316744;;Dendrobium crumenatum Sw.;Dendrobium crumenatum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Orchidaceae;Dendrobium;6;7707728.0;196.0;1169.0;7689.0;2821327.0;False;Liliopsida;Dendrobium crumenatum;5316744.0;
1323;5315383;;Dendrobium faciferum J.J.Sm.;Dendrobium faciferum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Orchidaceae;Dendrobium;6;7707728.0;196.0;1169.0;7689.0;2821327.0;False;Liliopsida;Dendrobium faciferum;5315383.0;
1324;5316500;;Dendrobium salaccense (Blume) Lindl.;Dendrobium salaccense;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Asparagales;Orchidaceae;Dendrobium;6;7707728.0;196.0;1169.0;7689.0;2821327.0;False;Liliopsida;Dendrobium salaccense;5316500.0;
1325;5323378;;Dendrobium utile J.J.Sm.;Dendrobium utile;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Orchidaceae;Dendrobium;6;7707728.0;196.0;1169.0;7689.0;2821327.0;False;Liliopsida;Dendrobium utile;5323378.0;
1326;4145704;;Dendrocalamus giganteus Munro;Dendrocalamus giganteus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Dendrocalamus;6;7707728.0;196.0;1369.0;3073.0;2703313.0;False;Liliopsida;Dendrocalamus giganteus;4145704.0;
1327;4145651;;Dendrocalamus hamiltonii Nees & Arn. ex Munro;Dendrocalamus hamiltonii;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Dendrocalamus;6;7707728.0;196.0;1369.0;3073.0;2703313.0;False;Liliopsida;Dendrocalamus hamiltonii;4145651.0;
1328;4145287;;Dendrocalamus pendulus Ridl.;Dendrocalamus pendulus;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Dendrocalamus;6;7707728.0;196.0;1369.0;3073.0;2703313.0;False;Liliopsida;Dendrocalamus pendulus;4145287.0;
