;FNFNUM;TAXON;TAXAUTHOR;GENUS;SPECIES;SUBSPECIES;VARIETY;FORMA;CULTIVAR;SPAUT;SPSAUT;SPVAUT;SPFAUT;CULTAUT;FAMILY;SPCMT;PLCO;TAXNO;VALIDTAXNO;GRINVERIFY;USEAGE;USERID;CREATED;MODIFIED
0;1;Abelmoschus esculentus;(L.) MOENCH;Abelmoschus;esculentus;;;;;(L.) MOENCH;;;;;Malvaceae;;;619.0;619.0;;F;DUKE;10-DEC-97;15-JUL-05
1;2;Abelmoschus manihot;(L.) MEDIK.;Abelmoschus;manihot;;;;;(L.) MEDIK.;;;;;Malvaceae;;;621.0;621.0;;F;DUKE;10-DEC-97;15-JUL-05
2;3;Abelmoschus moschatus;MEDIK.;Abelmoschus;moschatus;;;;;MEDIK.;;;;;Malvaceae;;375035002.0;623.0;623.0;;G;DUKE;10-DEC-97;15-JUL-05
4;5;Abies balsamea;(L.) MILLER;Abies;balsamea;;;;;(L.) MILLER;;;;;Pinaceae;;11010003.0;635.0;635.0;;M;DUKE;10-DEC-97;15-JUL-05
6;7;Abrus precatorius;L.;Abrus;precatorius;;;;;L.;;;;;Fabaceae;Synonyms: Glycine abrus L.;;739.0;739.0;;M;DUKE;10-DEC-97;15-JUL-05
7;8;Acacia catechu;(L. f.) WILLD.;Acacia;catechu;;;;;(L. f.) WILLD.;;;;;Fabaceae;;283012058.0;803.0;803.0;;M;DUKE;10-DEC-97;15-JUL-05
8;9;Acacia decurrens;(WENDL.) WILLD.;Acacia;decurrens;;;;;(WENDL.) WILLD.;;;;;Fabaceae;;283012027.0;822.0;822.0;;G;DUKE;10-DEC-97;15-JUL-05
9;10;Acacia farnesiana;(L.) WILLD.;Acacia;farnesiana;;;;;(L.) WILLD.;;;;;Fabaceae;;;844.0;844.0;;G;DUKE;10-DEC-97;15-JUL-05
11;11;Acacia leucophloea;(ROXB.) WILLD.;Acacia;leucophloea;;;;;(ROXB.) WILLD.;;;;;Fabaceae;;283012061.0;906.0;906.0;;G;DUKE;10-DEC-97;15-JUL-05
12;12;Acacia melanoxylon;R. BR.;Acacia;melanoxylon;;;;;R. BR.;;;;;Fabaceae;;283012010.0;926.0;926.0;;G;DUKE;10-DEC-97;15-JUL-05
13;1440;Acacia modesta;;Acacia;modesta;;;;;;;;;;Fabaceae;;;932.0;932.0;;M;DUKE;10-DEC-97;15-JUL-05
14;13;Acacia nilotica;(L.) WILLD. ex DELILE;Acacia;nilotica;;;;;(L.) WILLD. ex DELILE;;;;;Fabaceae;;283012003.0;312499.0;312499.0;;G;DUKE;10-DEC-97;15-JUL-05
17;16;Acalypha indica;L.;Acalypha;indica;;;;;L.;;;;;Euphorbiaceae;;328122004.0;400002.0;400002.0;;G;DUKE;10-DEC-97;15-JUL-05
19;1288;Acanthospermum hispidum;DC;Acanthospermum;hispidum;;;;;DC;;;;;Asteraceae;;;1077.0;1077.0;;;DUKE;10-DEC-97;15-JUL-05
20;1443;Acanthus ilicifolius;;Acanthus;ilicifolius;;;;;;;;;;Acanthaceae;;;1079.0;1079.0;;M;DUKE;10-DEC-97;15-JUL-05
21;18;Achillea millefolium;L.;Achillea;millefolium;;;;;L.;;;;;Asteraceae;Syns:ssp borealis, lanulosa,occid.,A.borealis,lanulosa,magna;580603001.0;1270.0;1270.0;;G;DUKE;10-DEC-97;15-JUL-05
23;20;Achyranthes aspera;BLUME;Achyranthes;aspera;;;;;BLUME;;;;;Amaranthaceae;;;401486.0;401486.0;;G;DUKE;10-DEC-97;15-JUL-05
24;21;Achyranthes bidentata;BLUME;Achyranthes;bidentata;;;;;BLUME;;;;;Amaranthaceae;;153040005.0;1314.0;1314.0;;G;DUKE;10-DEC-97;15-JUL-05
32;25;Acorus calamus;L.;Acorus;calamus;;;;;L.;;;;;Acoraceae;;44011001.0;1358.0;1358.0;;M;DUKE;10-DEC-97;15-JUL-05
39;29;Actinidia chinensis;PLANCHON;Actinidia;chinensis;;;;;PLANCHON;;;;;Actinidiaceae;;382010001.0;1405.0;1405.0;;F;DUKE;10-DEC-97;15-JUL-05
41;1692;Adansonia digitata;;Adansonia;digitata;;;;;;;;;;Bombacaceae;;;1433.0;1433.0;;M;DUKE;10-DEC-97;15-JUL-05
45;31;Adiantum capillus-veneris;L.;Adiantum;capillus-veneris;;;;;L.;;;;;Pteridaceae;;4004.0;401925.0;401925.0;;M;DUKE;10-DEC-97;15-JUL-05
46;32;Adiantum pedatum;L.;Adiantum;pedatum;;;;;L.;;;;;Pteridaceae;;;401921.0;401921.0;;M;DUKE;10-DEC-97;15-JUL-05
48;1212;Aegle marmelos;CORREA;Aegle;marmelos;;;;;CORREA;;;;;Rutaceae;;;1560.0;1560.0;;F;DUKE;10-DEC-97;15-JUL-05
50;1444;Aerva lanata;;Aerva;lanata;;;;;;;;;;Amaranthaceae;;;101478.0;101478.0;;M;DUKE;10-DEC-97;15-JUL-05
51;34;Aesculus hippocastanum;L.;Aesculus;hippocastanum;;;;;L.;;;;;Hippocastanaceae;Synonyms: Aesculus hippocastanum f. memmingeri (K. Koch) Sch;;1628.0;1628.0;;M;DUKE;10-DEC-97;15-JUL-05
58;37;Agathosma betulina;(P. J. BERGIUS) PILLANS;Agathosma;betulina;;;;;(P. J. BERGIUS) PILLANS;;;;;Rutaceae;Barosma betulina is a synonym;302052001.0;70058.0;70058.0;;M;DUKE;10-DEC-97;15-JUL-05
59;38;Agave americana;L.;Agave;americana;;;;;L.;;;;;Agavaceae;;80054004.0;1690.0;1690.0;;G;DUKE;10-DEC-97;15-JUL-05
60;39;Agave sisalana;PERRINE;Agave;sisalana;;;;;PERRINE;;;;;Agavaceae;;80054003.0;1735.0;1735.0;;G;DUKE;10-DEC-97;15-JUL-05
61;1289;Ageratum conyzoides;L.;Ageratum;conyzoides;;;;;L.;;;;;Asteraceae;;;103793.0;103793.0;;;DUKE;10-DEC-97;15-JUL-05
62;1290;Aglaonema commutatum;SCHOTT.;Aglaonema;commutatum;;;;;SCHOTT.;;;;;Araceae;;;312530.0;312530.0;;;DUKE;10-DEC-97;15-JUL-05
63;40;Agrimonia eupatoria;L.;Agrimonia;eupatoria;;;;;L.;;;;;Rosaceae;;;1786.0;1786.0;;M;DUKE;10-DEC-97;15-JUL-05
67;1694;Ailanthus grandis;;Ailanthus;grandis;;;;;;;;;;Simaroubaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
68;1979;Ajuga bracteosa;WALL.;Ajuga;bracteosa;;;;;WALL.;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
71;1984;Ajuga remota;;Ajuga;remota;;;;;;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
75;1160;Alangium lamarckii;LAM.;Alangium;lamarckii;;;;;LAM.;;;;;Alangiaceae;;;417465.0;417465.0;;M;DUKE;10-DEC-97;15-JUL-05
76;45;Albizia julibrissin;DURAZZ.;Albizia;julibrissin;;;;;DURAZZ.;;;;;Fabaceae;;;2136.0;2136.0;;M;DUKE;10-DEC-97;15-JUL-05
77;1829;Albizia procera;BENTH.;Albizia;procera;;;;;BENTH.;;;;;Fabaceae;;;2153.0;2153.0;;M;DUKE;10-DEC-97;15-JUL-05
80;48;Aleurites fordii;HEMSL.;Aleurites;fordii;;;;;HEMSL.;;;;;Euphorbiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
85;52;Allium ampeloprasum;L.;Allium;ampeloprasum;;;;;L.;;;;;Liliaceae;;73108001.0;2217.0;2217.0;;F;DUKE;10-DEC-97;15-JUL-05
86;53;Allium cepa;L.;Allium;cepa;;;;;L.;;;;;Liliaceae;;;2244.0;2244.0;;F;DUKE;10-DEC-97;15-JUL-05
88;55;Allium schoenoprasum;L.;Allium;schoenoprasum;;;;;L.;;;;;Liliaceae;;73108006.0;2369.0;2369.0;;F;DUKE;10-DEC-97;15-JUL-05
90;56;Alnus glutinosa;(L.) GAERTN.;Alnus;glutinosa;;;;;(L.) GAERTN.;;;;;Betulaceae;;;2448.0;2448.0;;M;DUKE;10-DEC-97;15-JUL-05
92;1447;Alnus nepalensis;;Alnus;nepalensis;;;;;;;;;;Betulaceae;;;2471.0;2471.0;;M;DUKE;10-DEC-97;15-JUL-05
95;57;Alocasia macrorrhiza;(L.) G. DON;Alocasia;macrorrhiza;;;;;(L.) G. DON;;;;;Araceae;;44069001.0;;;;F;DUKE;10-DEC-97;15-JUL-05
96;58;Aloe vera;(L.) BURM. f.;Aloe;vera;;;;;(L.) BURM. f.;;;;;Aloeaceae;;73085001.0;311403.0;311403.0;;G;DUKE;10-DEC-97;15-JUL-05
98;1450;Alphitonia excelsa;;Alphitonia;excelsa;;;;;;;;;;Rhamnaceae;;;2659.0;2659.0;;M;DUKE;10-DEC-97;15-JUL-05
99;1551;Alphitonia macrocarpa;;Alphitonia;macrocarpa;;;;;;;;;;Rhamnaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
102;60;Alpinia galanga;(L.) SW.;Alpinia;galanga;;;;;(L.) SW.;;;;;Zingiberaceae;Synonyms: Languas galanga (L.) Stuntz, Maranta galanga L.;96005002.0;2666.0;2666.0;;G;DUKE;10-DEC-97;15-JUL-05
104;1454;Alstonia scholaris;;Alstonia;scholaris;;;;;;;;;;Apocynaceae;;;2688.0;2688.0;;M;DUKE;10-DEC-97;15-JUL-05
105;62;Althaea officinalis;L.;Althaea;officinalis;;;;;L.;;;;;Malvaceae;;;2721.0;2721.0;;G;DUKE;10-DEC-97;15-JUL-05
110;1291;Amaranthus spinosus;L.;Amaranthus;spinosus;;;;;L.;;;;;Amaranthaceae;;;2804.0;2804.0;;;DUKE;10-DEC-97;15-JUL-05
111;1292;Ambrosia artemisiifolia;L>;Ambrosia;artemisiifolia;;;;;L>;;;;;Asteraceae;;;103817.0;103817.0;;;DUKE;10-DEC-97;15-JUL-05
113;1696;Ammannia baccifera;;Ammannia;baccifera;;;;;;;;;;Lythraceae;;;401549.0;401549.0;;M;DUKE;10-DEC-97;15-JUL-05
115;65;Ammi visnaga;(L.) LAM.;Ammi;visnaga;;;;;(L.) LAM.;;;;;Apiaceae;;464124001.0;2900.0;2900.0;;M;DUKE;10-DEC-97;15-JUL-05
117;1457;Amoora canarana;;Amoora;canarana;;;;;;;;;;Meliaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
118;67;Amorphophallus campanulatus;BLUME;Amorphophallus;campanulatus;;;;;BLUME;;;;;Araceae;;44040001.0;;;;F;DUKE;10-DEC-97;15-JUL-05
125;70;Anacardium occidentale;L.;Anacardium;occidentale;;;;;L.;;;;;Anacardiaceae;;;3060.0;3060.0;;F;DUKE;10-DEC-97;15-JUL-05
128;73;Anamirta cocculus;WIGHT & ARN.;Anamirta;cocculus;;;;;WIGHT & ARN.;;;;;Menispermaceae;;;3069.0;3069.0;;M;DUKE;10-DEC-97;15-JUL-05
129;74;Ananas comosus;(L.) MERR.;Ananas;comosus;;;;;(L.) MERR.;;;;;Bromeliaceae;;;3074.0;3074.0;;F;DUKE;10-DEC-97;15-JUL-05
130;75;Anaphalis margaritacea;(L.) A. GRAY;Anaphalis;margaritacea;;;;;(L.) A. GRAY;;;;;Asteraceae;;;3086.0;3086.0;;G;DUKE;10-DEC-97;15-JUL-05
133;78;Andira inermis;HBK;Andira;inermis;;;;;HBK;;;;;Fabaceae;;;3115.0;3115.0;;M;DUKE;10-DEC-97;15-JUL-05
134;79;Andrographis paniculata;(BURM. f.) NEES;Andrographis;paniculata;;;;;(BURM. f.) NEES;;;;;Acanthaceae;;;414228.0;414228.0;;M;DUKE;10-DEC-97;15-JUL-05
138;83;Anethum graveolens;L.;Anethum;graveolens;;;;;L.;;;;;Apiaceae;Synonyms: Anethum sowa , Peucedanum graveolens;464171001.0;3412.0;3412.0;;F;DUKE;10-DEC-97;15-JUL-05
142;87;Angelica sinensis;(OLIV.) DIELS;Angelica;sinensis;;;;;(OLIV.) DIELS;;;;;Apiaceae;;;406655.0;406655.0;;M;DUKE;10-DEC-97;15-JUL-05
146;1986;Anisomeles indica;(L.) KUNTZE;Anisomeles;indica;;;;;(L.) KUNTZE;;;;;Lamiaceae;;;3464.0;3464.0;;M;DUKE;10-DEC-97;15-JUL-05
147;1194;Anisomeles malabarica;R.BR.;Anisomeles;malabarica;;;;;R.BR.;;;;;Lamiaceae;;;3465.0;3465.0;;M;DUKE;10-DEC-97;15-JUL-05
150;1097;Annona glabra;L.;Annona;glabra;;;;;L.;;;;;Annonaceae;;;3484.0;3484.0;;F;DUKE;10-DEC-97;15-JUL-05
151;1098;Annona montana;L.;Annona;montana;;;;;L.;;;;;Annonaceae;;;3490.0;3490.0;;F;DUKE;10-DEC-97;15-JUL-05
152;91;Annona muricata;L.;Annona;muricata;;;;;L.;;;;;Annonaceae;;;3492.0;3492.0;;F;DUKE;10-DEC-97;15-JUL-05
153;92;Annona reticulata;L.;Annona;reticulata;;;;;L.;;;;;Annonaceae;;;3498.0;3498.0;;F;DUKE;10-DEC-97;15-JUL-05
154;93;Annona squamosa;L.;Annona;squamosa;;;;;L.;;;;;Annonaceae;;;3503.0;3503.0;;F;DUKE;10-DEC-97;15-JUL-05
159;96;Apium graveolens;L.;Apium;graveolens;;;;;L.;;;;;Apiaceae;In GRIN as Apium graveolens L. var. dulce (Mill.) Pers.;464112004.0;300034.0;300034.0;;F;DUKE;10-DEC-97;15-JUL-05
162;99;Aquilaria agallocha;(LOUR.) ROXB.;Aquilaria;agallocha;;;;;(LOUR.) ROXB.;;;;;Thymelaeaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
164;101;Arachis hypogaea;L.;Arachis;hypogaea;;;;;L.;;;;;Fabaceae;;;3785.0;3785.0;;F;DUKE;10-DEC-97;15-JUL-05
166;1296;Araucaria bidwillii;HOOK.;Araucaria;bidwillii;;;;;HOOK.;;;;;Araucariaceae;;;3835.0;3835.0;;;DUKE;10-DEC-97;15-JUL-05
170;105;Arctostaphylos uva-ursi;(L.) SPRENGEL;Arctostaphylos;uva-ursi;;;;;(L.) SPRENGEL;;;;;Ericaceae;;;3866.0;3866.0;;M;DUKE;10-DEC-97;15-JUL-05
171;106;Ardisia japonica;L.;Ardisia;japonica;;;;;L.;;;;;Myrsinaceae;;;3886.0;3886.0;;M;DUKE;10-DEC-97;15-JUL-05
172;107;Areca catechu;L.;Areca;catechu;;;;;L.;;;;;Arecaceae;;41127001.0;3903.0;3903.0;;M;DUKE;10-DEC-97;15-JUL-05
173;1295;Arecastrum romanzoffianum;(CHAM.) BECC.;Arecastrum;romanzoffianum;;;;;(CHAM.) BECC.;;;;;Arecaceae;;;;;;;DUKE;10-DEC-97;15-JUL-05
174;108;Argemone mexicana;L.;Argemone;mexicana;;;;;L.;;;;;Papaveraceae;;;3959.0;3959.0;;M;DUKE;10-DEC-97;15-JUL-05
175;109;Argyreia nervosa;(BURM.) BOJER;Argyreia;nervosa;;;;;(BURM.) BOJER;;;;;Convolvulaceae;;520042001.0;3968.0;3968.0;;M;DUKE;10-DEC-97;15-JUL-05
176;110;Argyreia speciosa;SWEET.;Argyreia;speciosa;;;;;SWEET.;;;;;Convolvulaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
179;112;Arisaema triphyllum;(L.) SCHOTT.;Arisaema;triphyllum;;;;;(L.) SCHOTT.;;;;;Araceae;;;4018.0;4018.0;;M;DUKE;10-DEC-97;15-JUL-05
183;116;Arnica montana;L.;Arnica;montana;;;;;L.;;;;;Asteraceae;;580667001.0;4242.0;4242.0;;M;DUKE;10-DEC-97;15-JUL-05
187;120;Artemisia annua;L.;Artemisia;annua;;;;;L.;;;;;Asteraceae;;;4275.0;4275.0;;M;DUKE;10-DEC-97;15-JUL-05
188;121;Artemisia capillaris;THUNB.;Artemisia;capillaris;;;;;THUNB.;;;;;Asteraceae;;;402525.0;402525.0;;M;DUKE;10-DEC-97;15-JUL-05
189;122;Artemisia cina;BERG.;Artemisia;cina;;;;;BERG.;;;;;Asteraceae;;580629003.0;4281.0;4281.0;;M;DUKE;10-DEC-97;15-JUL-05
195;127;Artemisia vulgaris;L.;Artemisia;vulgaris;;;;;L.;;;;;Asteraceae;;580629006.0;4190.0;4190.0;;M;DUKE;10-DEC-97;15-JUL-05
196;128;Artocarpus altilis;(PARKINS.) FOSBERG;Artocarpus;altilis;;;;;(PARKINS.) FOSBERG;;;;;Moraceae;;;4319.0;4319.0;;F;DUKE;10-DEC-97;15-JUL-05
197;129;Artocarpus heterophyllus;LAM.;Artocarpus;heterophyllus;;;;;LAM.;;;;;Moraceae;;126039002.0;70095.0;70095.0;;F;DUKE;10-DEC-97;15-JUL-05
198;1459;Artocarpus integrifolia;;Artocarpus;integrifolia;;;;;;;;;;Moraceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
199;130;Arundo donax;L.;Arundo;donax;;;;;L.;;;;;Poaceae;;38231001.0;4439.0;4439.0;;G;DUKE;10-DEC-97;15-JUL-05
201;132;Asclepias syriaca;L.;Asclepias;syriaca;;;;;L.;;;;;Asclepiadaceae;;515081001.0;4478.0;4478.0;;M;DUKE;10-DEC-97;15-JUL-05
203;135;Asimina triloba;(L.) DUNAL;Asimina;triloba;;;;;(L.) DUNAL;;;;;Annonaceae;;206073001.0;4485.0;4485.0;;F;DUKE;10-DEC-97;15-JUL-05
205;137;Asparagus officinalis;L.;Asparagus;officinalis;;;;;L.;;;;;Liliaceae;;73172002.0;300050.0;300050.0;;F;DUKE;10-DEC-97;15-JUL-05
209;140;Astragalus membranaceus;(FISCH. EX LINK) BUNGE;Astragalus;membranaceus;;;;;(FISCH. EX LINK) BUNGE;;;;;Fabaceae;;;5824.0;5824.0;;M;DUKE;10-DEC-97;15-JUL-05
214;144;Avena sativa;L.;Avena;sativa;;;;;L.;;;;;Poaceae;;38173004.0;6123.0;6123.0;;F;DUKE;10-DEC-97;15-JUL-05
215;1214;Averrhoa bilimbi;L.;Averrhoa;bilimbi;;;;;L.;;;;;Oxalidaceae;;;6157.0;6157.0;;F;DUKE;10-DEC-97;15-JUL-05
216;1207;Averrhoa carambola;L.;Averrhoa;carambola;;;;;L.;;;;;Oxalidaceae;;289005002.0;6158.0;6158.0;;F;DUKE;10-DEC-97;15-JUL-05
217;1461;Avicennia alba;;Avicennia;alba;;;;;;;;;;Verbenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
218;1163;Avicennia marina;L.;Avicennia;marina;;;;;L.;;;;;Verbenaceae;;;417483.0;417483.0;;M;DUKE;10-DEC-97;15-JUL-05
219;1462;Avicennia officinalis;;Avicennia;officinalis;;;;;;;;;;Verbenaceae;;;6160.0;6160.0;;M;DUKE;10-DEC-97;15-JUL-05
220;1463;Avicennia tomentosa;;Avicennia;tomentosa;;;;;;;;;;Verbenaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
221;146;Azadirachta indica;A. JUSS.;Azadirachta;indica;;;;;A. JUSS.;;;;;Meliaceae;;312022001.0;6161.0;6161.0;;M;DUKE;10-DEC-97;15-JUL-05
231;151;Barosma betulina;(P. J. BERGIUS) BARTL. & H. L. WENDL.;Barosma;betulina;;;;;(P. J. BERGIUS) BARTL. & H. L. WENDL.;;;;;Rutaceae;Synonym of Agathosma betulina;;;;;G;DUKE;10-DEC-97;15-JUL-05
232;152;Basella alba;L.;Basella;alba;;;;;L.;;;;;Basellaceae;;169001001.0;6531.0;6531.0;;F;DUKE;10-DEC-97;15-JUL-05
234;153;Belamcanda chinensis;(L.) DC.;Belamcanda;chinensis;;;;;(L.) DC.;;;;;Iridaceae;Syns: B.  punctata, Gemmingia chinensis, Ixia chinensis;91027002.0;6714.0;6714.0;;M;DUKE;10-DEC-97;15-JUL-05
235;154;Benincasa hispida;(THUNB.) COGN.;Benincasa;hispida;;;;;(THUNB.) COGN.;;;;;Cucurbitaceae;;571054001.0;6746.0;6746.0;;F;DUKE;10-DEC-97;15-JUL-05
237;156;Bertholletia excelsa;BONPL.;Bertholletia;excelsa;;;;;BONPL.;;;;;Lecythidaceae;;;7022.0;7022.0;;F;DUKE;10-DEC-97;15-JUL-05
254;2130;Bidens pilosa;;Bidens;pilosa;;;;;;;;;;Asteraceae;;;7169.0;7169.0;;M;DUKE;10-DEC-97;15-JUL-05
255;1186;Bischofia javanica;BLUME.;Bischofia;javanica;;;;;BLUME.;;;;;Euphorbiaceae;;;7243.0;7243.0;;;DUKE;10-DEC-97;15-JUL-05
256;159;Bixa orellana;L.;Bixa;orellana;;;;;L.;;;;;Bixaceae;;;7249.0;7249.0;;G;DUKE;10-DEC-97;15-JUL-05
257;160;Blechnum orientale;L.;Blechnum;orientale;;;;;L.;;;;;Blechnaceae;;;403464.0;403464.0;;M;DUKE;10-DEC-97;15-JUL-05
259;162;Blighia sapida;KOENIG;Blighia;sapida;;;;;KOENIG;;;;;Sapindaceae;;;7271.0;7271.0;;M;DUKE;10-DEC-97;15-JUL-05
261;164;Bocconia frutescens;L.;Bocconia;frutescens;;;;;L.;;;;;Papaveraceae;;224015001.0;7282.0;7282.0;;M;DUKE;10-DEC-97;15-JUL-05
263;165;Boehmeria nivea;(L.) GAUDICH.;Boehmeria;nivea;;;;;(L.) GAUDICH.;;;;;Urticaceae;;128017001.0;7290.0;7290.0;;M;DUKE;10-DEC-97;15-JUL-05
265;166;Borago officinalis;L.;Borago;officinalis;;;;;L.;;;;;Boraginaceae;;530054001.0;7422.0;7422.0;;G;DUKE;10-DEC-97;15-JUL-05
267;168;Boswellia sacra;FLUECK;Boswellia;sacra;;;;;FLUECK;;;;;Burseraceae;Synonym: Boswellia carteri Birdw.;309014001.0;310550.0;310550.0;;G;DUKE;10-DEC-97;15-JUL-05
271;170;Brassica chinensis;L.;Brassica;chinensis;;;;;L.;;;;;Brassicaceae;Synonym of Brassica rapa L. subsp. chinensis (L.) Hanelt;;;;;F;DUKE;10-DEC-97;15-JUL-05
272;171;Brassica juncea;(L.) CZERNJ. & COSSON;Brassica;juncea;;;;;(L.) CZERNJ. & COSSON;;;;;Brassicaceae;;226087003.0;7654.0;7654.0;;F;DUKE;10-DEC-97;15-JUL-05
274;173;Brassica nigra;(L.) W. D. J. KOCH;Brassica;nigra;;;;;(L.) W. D. J. KOCH;;;;;Brassicaceae;Brassica nigra var. abyssinica is a synonym;226087006.0;7666.0;7666.0;;F;DUKE;10-DEC-97;15-JUL-05
280;181;Brassica pekinensis;(LOUR.) RUPR.;Brassica;pekinensis;;;;;(LOUR.) RUPR.;;;;;Brassicaceae;;;;;;F;DUKE;10-DEC-97;15-JUL-05
282;182;Brassica rapa;L.;Brassica;rapa;;;;;L.;;;;;Brassicaceae;;226087014.0;7685.0;7685.0;;F;DUKE;10-DEC-97;15-JUL-05
285;185;Broussonetia papyrifera;(L.) VENT;Broussonetia;papyrifera;;;;;(L.) VENT;;;;;Moraceae;;;7900.0;7900.0;;M;DUKE;10-DEC-97;15-JUL-05
295;191;Buxus sempervirens;L.;Buxus;sempervirens;;;;;L.;;;;;Buxaceae;;;8212.0;8212.0;;M;DUKE;10-DEC-97;15-JUL-05
296;1703;Buxus wallichiana;;Buxus;wallichiana;;;;;;;;;;Buxaceae;;;8218.0;8218.0;;M;DUKE;10-DEC-97;15-JUL-05
297;1217;Byrsonima crassifolia;HBK.;Byrsonima;crassifolia;;;;;HBK.;;;;;Malpighiaceae;;;8222.0;8222.0;;;DUKE;10-DEC-97;15-JUL-05
299;1705;Caesalpinia decapetala;;Caesalpinia;decapetala;;;;;;;;;;Fabaceae;;;313176.0;313176.0;;M;DUKE;10-DEC-97;15-JUL-05
300;192;Caesalpinia pulcherrima;(L.) SW.;Caesalpinia;pulcherrima;;;;;(L.) SW.;;;;;Fabaceae;;283125013.0;8306.0;8306.0;;M;DUKE;10-DEC-97;15-JUL-05
301;193;Cajanus cajan;(L.) HUTH;Cajanus;cajan;;;;;(L.) HUTH;;;;;Fabaceae;;;8319.0;8319.0;;F;DUKE;10-DEC-97;15-JUL-05
302;1837;Cajanus scarabaeoides;(L.) HUTH;Cajanus;scarabaeoides;;;;;(L.) HUTH;;;;;Fabaceae;;;313609.0;313609.0;;M;DUKE;10-DEC-97;15-JUL-05
303;194;Caladium bicolor;(AIT.) VENTEN;Caladium;bicolor;;;;;(AIT.) VENTEN;;;;;Araceae;;44074001.0;8333.0;8333.0;;M;DUKE;10-DEC-97;15-JUL-05
309;196;Calendula officinalis;L.;Calendula;officinalis;;;;;L.;;;;;Asteraceae;;580694001.0;8457.0;8457.0;;G;DUKE;10-DEC-97;15-JUL-05
312;1706;Callicarpa arborea;;Callicarpa;arborea;;;;;;;;;;Lamiaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
313;1479;Callistemon lanceolatus;;Callistemon;lanceolatus;;;;;;;;;;Myrtaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
314;1188;Calophyllum apetalum;WILLD.;Calophyllum;apetalum;;;;;WILLD.;;;;;Clusiaceae;;;411479.0;411479.0;;M;DUKE;10-DEC-97;15-JUL-05
317;1708;Calophyllum macrocarpum;;Calophyllum;macrocarpum;;;;;;;;;;Clusiaceae;;;411469.0;411469.0;;M;DUKE;10-DEC-97;15-JUL-05
318;1709;Calophyllum tomentosum;;Calophyllum;tomentosum;;;;;;;;;;Clusiaceae;;;411482.0;411482.0;;M;DUKE;10-DEC-97;15-JUL-05
321;198;Camellia sinensis;(L.) KUNTZE;Camellia;sinensis;;;;;(L.) KUNTZE;;;;;Theaceae;;394004001.0;8732.0;8732.0;;F;DUKE;10-DEC-97;15-JUL-05
324;200;Cananga odorata;(LAM.) HOOK. f. & THOMSON;Cananga;odorata;;;;;(LAM.) HOOK. f. & THOMSON;;;;;Annonaceae;;206020001.0;8805.0;8805.0;;G;DUKE;10-DEC-97;15-JUL-05
325;201;Canarium indicum;L.;Canarium;indicum;;;;;L.;;;;;Burseraceae;;309005001.0;8815.0;8815.0;;F;DUKE;10-DEC-97;15-JUL-05
327;202;Canavalia ensiformis;(L.) DC.;Canavalia;ensiformis;;;;;(L.) DC.;;;;;Fabaceae;;283457001.0;8827.0;8827.0;;F;DUKE;10-DEC-97;15-JUL-05
330;1844;Canavalia gladiata;(JACQ.) DC.;Canavalia;gladiata;;;;;(JACQ.) DC.;;;;;Fabaceae;;;8829.0;8829.0;;M;DUKE;10-DEC-97;15-JUL-05
331;1845;Canavalia rosea;(SW.) DC.;Canavalia;rosea;;;;;(SW.) DC.;;;;;Fabaceae;;;8841.0;8841.0;;M;DUKE;10-DEC-97;15-JUL-05
333;1847;Canavalia virosa;(ROXB.) W.& A..;Canavalia;virosa;;;;;(ROXB.) W.& A..;;;;;Fabaceae;;;;;;M;DUKE;10-DEC-97;15-JUL-05
334;203;Canna indica;L.;Canna;indica;;;;;L.;;;;;Cannaceae;;98001005.0;8858.0;8858.0;;F;DUKE;10-DEC-97;15-JUL-05
335;204;Cannabis sativa;L.;Cannabis;sativa;;;;;L.;(LAM.) E. SMALL & CRONQUIST;;;;Cannabaceae;See subspecies indica and sativa;126066001.0;8862.0;8862.0;;M;DUKE;10-DEC-97;15-JUL-05
336;205;Capparis spinosa;L.;Capparis;spinosa;;;;;L.;;;;;Capparaceae;Synonyms: Capparis rupestris Sm.;229020001.0;8897.0;8897.0;;F;DUKE;10-DEC-97;15-JUL-05
337;206;Capsella bursa-pastoris;(L.) MEDICUS;Capsella;bursa-pastoris;;;;;(L.) MEDICUS;;;;;Brassicaceae;;226124001.0;105461.0;105461.0;;G;DUKE;10-DEC-97;15-JUL-05
338;207;Capsicum annuum;L.;Capsicum;annuum;;;;;L.;;;;;Solanaceae;;540028008.0;8904.0;8904.0;;F;DUKE;10-DEC-97;15-JUL-05
