;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;species;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;synonym;class;note
792;5572174;;Ficus lepicarpa Blume;Ficus lepicarpa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Moraceae;Ficus;Ficus lepicarpa;6;7707728.0;220.0;691.0;6640.0;2984588.0;5572174.0;False;Magnoliopsida;
793;5331166;;Flacourtia inermis Roxb.;Flacourtia inermis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Salicaceae;Flacourtia;Flacourtia inermis;6;7707728.0;220.0;1414.0;6664.0;2874157.0;5331166.0;False;Magnoliopsida;
794;5359905;;Flemingia parviflora Benth.;Flemingia parviflora;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Flemingia;Flemingia parviflora;6;7707728.0;220.0;1370.0;5386.0;2975927.0;5359905.0;False;Magnoliopsida;
795;8696932;2984469.0;Fleurya interrupta (L.) Gaudich.;Fleurya interrupta;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Laportea;Laportea interrupta;6;7707728.0;220.0;691.0;6639.0;2984461.0;2984469.0;True;Magnoliopsida;
796;5382884;;Flueggea tinctoria (L.) G.L.Webster;Flueggea tinctoria;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Phyllanthaceae;Flueggea;Flueggea tinctoria;6;7707728.0;220.0;1414.0;8807.0;3079251.0;5382884.0;False;Magnoliopsida;
797;5382823;;Flueggea virosa (Roxb. ex Willd.) Royle;Flueggea virosa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Phyllanthaceae;Flueggea;Flueggea virosa;6;7707728.0;220.0;1414.0;8807.0;3079251.0;5382823.0;False;Magnoliopsida;
798;3192257;;Fragilaria H.C.Lyngbye, 1819;Fragilaria;GENUS;ACCEPTED;91;HIGHERRANK;Chromista;Ochrophyta;Fragilariales;Fragilariaceae;Fragilaria;;4;98.0;7947184.0;1101.0;7149.0;3192257.0;;False;Bacillariophyceae;
799;6;;Plantae;Plantae;KINGDOM;ACCEPTED;99;HIGHERRANK;Plantae;;;;;;6;;;;;;;False;;
800;2869121;;Furtadoa sumatrensis M.Hotta;Furtadoa sumatrensis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Alismatales;Araceae;Furtadoa;Furtadoa sumatrensis;6;7707728.0;196.0;551.0;6979.0;2869120.0;2869121.0;False;Liliopsida;
801;5381026;;Galearia filiformis (Blume) Boerl.;Galearia filiformis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Pandaceae;Galearia;Galearia filiformis;6;7707728.0;220.0;1414.0;4692.0;3075549.0;5381026.0;False;Magnoliopsida;
