;Plant
1448;Monstera gracilis Engl.
1449;Morinda lucida Benth.
1450;Morus macroura Miq.
1451;Mucuna bernetii
1452;Musa brachycarpa
1453;Musa celebica Warb. ex K.Schum.
1454;Musaenda luteola
1455;Mussaenda divaricata Hutch.
1456;Mussaenda glabra Vahl
1457;Mussaenda pilosissima Valeton
1458;Mussaenda reinwardtiana Miq.
1459;Myriocarpa longipes Liebm.
1460;Myristica simiarum A. DC.
1461;Nauclea calycina Bartl. Ex DC.
1462;Nauclea lanceolata Bl.
1463;Neololeba atra (Lindl.) Wijaya
1464;Neomarica longifolia (Link & Otto) Sprague
1465;Nepenthes ampullaria
1466;Nepenthes gracilis Korth.
1467;Nepenthes reinwardtiana Miq.
1468;Nephelium mutabile Blume
1469;Nephrolepis acutifolia (Desv.) H. Christ
1470;Nephrolepis falcata (Cav.) C. Chr.
1471;Nephrolepis hirsutula (G.Forst) L.Presl
1472;Nerium oleander L.
1473;Nervilia plicata (Andrews) Schltr.
1474;Nigella damascena L.
1475;Nymphaea albavar. semiaperta Schmalh
1476;Nymphaea nouchali Burm.f.
1477;Nymphaea stellata Wild.
1478;Ocimum × africanum Lour.
1479;Oldenlandia diffusa (Willd.) Roxb.
1480;Olea paniculata R.Br.
1481;Oncosperma tigillaria Ridl.
1482;Ophioglossum reticulatum L.
1483;Ophiorrhiza marginata Blume
1484;Ophiuros exaltatus (L.) Kuntze
1485;Pachystachys coccinea (Aubl.) Nees
1486;Palaquium obovatum (Griff.) Engl.
1487;Palicourea obovata (Ruiz & Pav.) DC.
1488;Pandanus atrocarpus Griff.
1489;Pandanus bidur
1490;Pandanus littoralis Jungh.
1491;Parkia biglobosa (Jacq.) G.Don
1492;Paspaltulum plicatulum Michx.
1493;Paspalum dilatatum Poir.
1494;Paspalum fimbriatum Kunth.
1495;Paspalum vaginatum Sw.
1496;Paspalum conjugatum P.J.Bergius
1497;Paspalum setaceum Michx.
1498;Passiflora incarnata L.
1499;Pavetta celebica Bremek.
1500;Pellacalyx axillaris Korth.
1501;Pelomele angustifolia
1502;Peltophorum pterocarpum (DC.)K.Heyne.
1503;Pemphis acidula J.R. Forst.
1504;Pennisetum glaucum (L.) R.Br.
1505;Pentatropis capensis (L. f.) Bullock
1506;Peperomia exigua (Blume) Miq.
1507;Peperomia peltaphylla Trel. & Yunck.
1508;Peperomia serpens (Sw.) Loudon
1509;Persea excelsa (Blume) Kosterm.
1510;Persicaria pensylvanica (L.) M. Gómez.
1511;Persicaria wallichii Greuter & Burdet
1512;Phaius tankervilleae (Banks ex L'Hér.) Blume
1513;Phaseolus radiatus L.
1514;Phragmites karka (Retz.) Trin. ex Steud.
1515;Phrynium hirtum Ridl.
1516;Phyllanthus amarus Schumach. & Thonn.
1517;Phyllanthus buxifolius (Blume) Müll.Arg.
1518;Phyllanthus myrtifolius (Wight) Mull.Arg.
1519;Phyllanthus pulcher Wall. ex Müll.Arg.
1520;Phyllanthus simplex Retz.
1521;Phymatosorus diversifolius (Willd.) Pic.
1522;Physalis minheumima L.
1523;Physalis peruviana L.
1524;Phytocrene macrophylla Blume
1525;Pilea melastomoides (Poir.) Wedd.
1526;Pilea pumila (L.) A. Gray
1527;Pimelodendron amboinicum Hassk
1528;Pinus merkusii Jungh. & de Vriese
1529;Piper cubeba L.
1530;Piper flaviflorum C. DC.
1531;Piper methysticum G.Forst
1532;Piper peltatum L.
1533;Pisonia grandis R. Br.
1534;Pithecellobium dulce (Roxb.) Benth.
1535;Pityrogramma calomelanos (L.) Link
1536;Plagiostachys mucida Holttum
1537;Planchonia valida (Blume) Blume
1538;Plectocomiopsis wrayi Becc.
1539;Plectranthus ciliatus E. Mey.
1540;Pleomele angustifolia
1541;Ploiarium alternifolium (Vahl) Melch.
1542;Pogonantherum paniceum
1543;Pogostemon auricularia
1544;Pogostemon auricularius (L.) Hassk.
1545;Pogostemon heyneanus Benth.
1546;Pogostemon auricularius (L.) Hassk.
1547;Poikilospermum erectum (Blanco) Merril.
1548;Pollia secundiflora (Blume) Bakh.f.
1549;Polyalthia sclerophylla Hook. f. & Thomson
1550;Polygonum punctatum Buch.Ham. ex D. Don
1551;Popowia pisocarpa (Blume) Endl.
1552;Portulaca grandiflora Hook.
1553;Premma cordiflora
1554;Premna foetida Reinw. ex Blume
1555;Premna oblongifolia Merr.
1556;Prunus javanica (Teijsm. & Binn.) Miq.
1557;Psychotria nervosa Swartz.
1558;Psychotria viridiflora Reinw. ex Blume
1559;Pteridium aquilinum (L.) Kuhn
1560;Pteris longifolia L.
1561;Pternandra echinata Wall.
1562;Pternandra galeata (Korth.) Ridley
1563;Pterospermum heterophyllum Hance
1564;Pterospermum javanicum
1565;Pterospermum reticulatum Wight & Arn.
1566;Pterospermum xylocarpum (Gaertn.) Oken
1567;Pueraria phaseoloides (Roxb.) Benth.
1568;Pycnarrhena cauliflora (Miers) Diels.
1569;Pycnarrhena tumefacta Miers.
1570;Pyrrosia lanceolata (L.) Farw
1571;Pyrrosia longifolia (Burm. f.) C.V. Morton
1572;Quercus lusitanica Lam.
1573;Raphidophora decursiva (Roxb.) A. Schott
1574;Raphidophora engleri Kanch.
1575;Rauvolfia serpentina (L.) Benth. ex Kurz
1576;Rennellia speciosa (Wall. ex Kurz) Hook.f.
1577;Rhaphidophora puberula Engl.
1578;Rhizophora mangle
1579;Rhodamnia cinerea Jack
1580;Rhodamnia rubescens (Benth.) Miq.
1581;Rhus glabra L.
1582;Rhynchospora colorata (L.) H.Pfeiff.
1583;Rhyzopora apiculata
1584;Rotheca serrata (L.) Steane & Mabb.
1585;Rourea minor (Gaertn.) Alston
1586;Rubia cordifolia L.
1587;Rubus alceifolius Poir.
1588;Rubus cuneifolius Pursh
1589;Rubus tricolor Focke
1590;Ruellia simplex C.Wright
1591;Salomonia cantoniensis Lour.
1592;Salvia hispanica L.
1593;Sanchezia oblonga Ruiz & Pav.
1594;Sarcocephalus latifolius (Sm.) E.A.Bruce
1595;Sarcotheca macrophylla Blume
1596;Saricocalix crispus
1597;Saurauia gigantea Blume
1598;Saurauia pedunculata Hook.
1599;Saurauia pendula Blume
1600;Saurauia tristyla DC.
1601;Scaevola frutescens (Mill.) Krause
1602;Scaphochlamys lanceolata (Ridl.) Holttum
1603;Schefflera elliptica (Blume) Harms
1604;Schefflera grandiflora (A.C.Sm.) Frodin
1605;Schefflera singularis B.C.Stone
1606;Schima wallichii Choisy
1607;Schismatoglottis calyptrata (Roxb.)
1608;Schizaea dichotoma (L.) J. Sm.
1609;Scindapsus pictus Hassk.
1610;Scyphiphora hydrophylacea C.F.Gaertn.
1611;Securidaca inappendiculata Hassk.
1612;Selaginella australis
1613;Selaginella delicatula (Desv. ex Poir.) Alston
1614;Selaginella eurynota A. Braun
1615;Selaginella kraussiana (Kunze) A. Braun
1616;Selaginella tamariscina (P. Beauv.) Spring
1617;Senna obtusifolia (L.) H.S.Irwin & Barneby
1618;Senna surattensis (Burm.f.)
1619;Setaria palmifolia (J.Koenig) Stapf
1620;Setaria italica (L.) P.Beauv.
1621;Shorea pauciflora King
1622;Shorea stenoptera Burck
1623;Shorea Sumaterana Symington
1624;Sida spinosa
1625;Simplocos coccicinensis
1626;Smilax odoratissima Bl.
1627;Smilax rotundifolia L.
1628;Smilax zeylanica L.
1629;Solanostemon scutellarioides
1630;Solanum dimidiatum Raf
1631;Solanum erianthum
1632;Solanum khasianum C.B. Clarke
1633;Solanum mammosum L.
1634;Solanum venturii Hawkes & Hjerting
1635;Solanum mammosum L
1636;Sonchus oleraceus (L.) L.
1637;Sonneratia caseolaris (L.) Engl.
1638;Sonneratia ovata Back.
1639;Sophora tomentosa L.
1640;Sorghum bicolor (L.) Moench
1641;Sorgum vulgare
1642;Spathiphyllum cannifolium (Dryand. ex Sims)
1643;Spatholobus ferrugineus (Zoll. & Moritzi)
1644;Spermacoce exilis (L.O.Williams) C.D Adams
1645;Spermacoce laevis Lam.
1646;Spermacoce suaveolens (G.Mey.) Kuntze
1647;Sphagneticola trilobata (L.) Pruski.
1648;Spigelia anthelmia L.
1649;Spiranthes sinensis (Pers.) Ames
1650;Sporobolus contractus Hitchc.
1651;Spylanthes acmela
1652;Staurogyne letestuana Benoist
1653;Stephania glabra (Roxb.) Miers
1654;Sterculia foetida L.
1655;Sterculia laevis Wall. ex Jack
1656;Sterculia lanceolata Cav.
1657;Styrax tonkinensis (Pierre) Craib ex Hartwich
1658;Swietenia macrophylla King
1659;Swintonia minutalata Ding Hou
1660;Symplocos fasciculata Zoll.
1661;Syzigium aromaticum
1662;Syzygium dyerianum (King)
1663;Syzygium lineatum (DC.) Merr. & L.M. Perry
1664;Syzygium muelleri (Miq.) Miq.
1665;Syzygium perforatum (Miq.) Widodo
1666;Syzygium stapfianum (King) I.M.Turner
1667;Syzyngium polianthum
1668;Tabernaemontana amygdalifolia Jacq.
1669;Tabernaemontana aurantiaca
1670;Tabernaemontana dichotoma Roxb. ex Wall.
1671;Tabernaemontana macrocarpa
1672;Tabernaemontana arborea Rose ex J.D.Sm.
1673;Talinum fruticosum (L.) Juss.
1674;Talipariti simile (Blume) Fryxell
1675;Tarenna odorata (Roxb.) B.L.Rob.
1676;Teijmaniodendron sogoriense
1677;Terminalia bellirica (Gaertn.) Roxb
1678;Terminalia foetidissima Griff.
1679;Terminalia microcarpa Decne.
1680;Tetracera sarmentosa (L.) Vahl
1681;Tetramerista glabra Miq.
1682;Tetranthera angulata (Blume) Nees
1683;Tetrastigma lanceolarium (Roxb.) Planch.
1684;Tetrastigma nitens (F. Muell.) Planch.
1685;Tetrastigma petraeum Jackes
1686;Thelypteris palustris (A. Gray) Schott
1687;Themeda arguens (L.) Hack.
1688;Thottea grandiflora Rottb.
1689;Thunbergia erecta (Benth.) T.Anderson
1690;Timonius hirsutus Merr.
1691;Timonius lasianthoides Valeton
1692;Tinomiscium petiolare Hook. f. & Thomson
1693;Tinospora cordifolia (Willd.) Miers.
1694;Tinospora dissitiflora Diels
1695;Toona ciliata M.Roem.
1696;Toona sinensis (Juss.) M.Roem.
1697;Trema micrantha (L.) Blume
1698;Tremella mesenterica
1699;Trevesia cheirantha Ridl.
1700;Trianthema portulacastrum L.
1701;Trichosanthes tricuspidata Lour.
1702;Tristania obovata R.Br.
1703;Tristania Sumaterana Miq.
1704;Tristania whiteana Griff.
1705;Triumfetta bartramia Linn.
1706;Turnera subulata Sm.
1707;Typha angustifolia L.
1708;Uncaria cordata var. cordata
1709;Uncaria sclerophylla (Hunter) Roxb.
1710;Uraria lagopodioides (L.) DC.
1711;Uraria picta (Jacq.) DC.
1712;Uraria rufescens (DC.) Schindl.
1713;Urera baccifera (L.) Gaudich.
1714;Usnea barbata (L.) Weber ex F.H. Wigg.
1715;Usnea misaminensis (Vain.) Motyka
1716;Uvaria hirsuta Jack
1717;Uvaria macrophylla Roxb.
1718;Vanilla planifolia Jacks. ex Andrews
1719;Vatica papuana
1720;Vatica rassak Blume
1721;Vernicia montana Lour.
1722;Vernonia scandens
1723;Viburnum odoratissimum Ker Gawl.
1724;Vigna marina (Burm.)Merr.
1725;Vitex rotundifolia L. f.
1726;Vitex venosa H.J. Lam
1727;Vitex vestita Wall. ex Schauer
1728;Vitis geniculata Miq.
1729;Wedelia calendulacea Rich.
1730;Wikstroemia androsaemifolia Decne.
1731;Willughbeia edulis Roxb.
1732;Woodfordia fruticosa (L.) Kurz
1733;Xanthosoma violaeum
1734;Zanthoxylum piperitum Franch.
1735;Zanthoxylum schinifolium Siebold & Zucc.
1736;Zephyranthes candida (Lindl.) Herb.
1737;Zephyranthes carinata Herb.
1738;Zingiber montanum (J.König) Link ex A.Dietr.
1739;Ziziphus jujuba Mill.
