;Plant
359;Vernonia vagans DC.
360;Abelmoschus moschatus Medik.
361;Alpinia malaccensis (Burm.f.) Roscoe
362;Alstonia angustifolia Wall. ex A.DC.
363;Aquilaria malaccensis Lam.
364;Artemisia vulgaris L.
365;Barringtonia asiatica (L.) Kurz
366;Caesalpinia pulcherrima (L.) Sw.
367;Cajanus cajan (L.) Millsp.
368;Cayratia trifolia (L.) Domin
369;Cinnamomum parthenoxylon (Jack) Meisn.
370;Cleome rutidosperma DC.
371;Cryptocarya massoy (Oken) Kosterm.
372;Curculigo latifolia Dryand. ex W.T. Aiton
373;Curcuma mangga Valeton & Zijp
374;Dillenia excelsa (Jack) Martelli ex Gilg.
375;Dioscorea hispida Dennst.
376;Dracaena fragrans (L.) Ker Gawl.
377;Ficus hispida L.f.
378;Flemingia strobilifera (L.) W.T.Aiton
379;Hedychium coronarium J.König
380;Helicteres isora L.
381;Indigofera suffruticosa Mill.
382;Lagerstroemia speciosa (L.) Pers.
383;Leersia hexandra Sw.
384;Mangifera foetida Lour.
385;Molineria latifolia (Dryand. ex W.T.Aiton)
386;Neolamarckia cadamba (Roxb.) Bosser
387;Oldenlandia auricularia (L.) K.Schum.
388;Plumbago zeylanica L.
389;Primula Sumaterana Merr.
390;Rhinacanthus nasutus (L.) Kurz
391;Rhizophora apiculata Blume
392;Rosa hybrida Hort.
393;Salacca zalacca (Gaertn.) Voss
394;Sansevieria trifasciata Prain
395;Spondias pinnata (L.f.) Kurz
396;Stachytarpheta indica (L.) Vahl
397;Synedrella nodiflora (L.) Gaertn.
398;Tithonia diversifolia (Hemsl.) A.Gray
399;Tradescantia spathacea Sw.
400;Vitex negundo L.
401;Xanthosoma sagittifolium (L.) Schott
402;Zingiber amaricans Bl.
403;Zingiber aromaticum Val.
404;Alternanthera sessilis (L.) R.Br. ex DC.
405;Anisophyllea disticha (Jack) Baill.
406;Asclepias curassavica L.
407;Barleria prionitis L.
408;Biophytum sensitivum (L.) DC.
409;Blechnum orientale L.
410;Blumea lacera (Burm.f.) DC.
411;Bombax ceiba L.
412;Borreria laevis (Lam.) Griseb.
413;Caladium bicolor (Aiton) Vent.
414;Canna indica L.
415;Cassia javanica L.
416;Casuarina equisetifolia L.
417;Chrysopogon aciculatus (Retz.) Trin.
418;Cissus repens Lam.
419;Citrus aurantium L.
420;Citrus sinensis (L.) Osbeck
421;Clerodendrum fallax Lindl.
422;Clidemia hirta (L.) D. Don
423;Cnestis palala (Lour.) Merc
424;Coccinia grandis (L.) Voigt
425;Commelina diffusa Burm.f.
426;Coscinium fenestratum (Goetgh.) Colebr.
427;Crotalaria micans Link
428;Crotalaria pallida Aiton
429;Cyclosorus heterocarpus (Blume) Ching
430;Dendrocnide sinuata (Blume) Chew
431;Dendrophthoe vitellinus (F.Muell.) Tiegh.
432;Desmodium triflorum (L.) DC.
433;Drynaria quercifolia (L.) J. Sm.
434;Euphorbia pulcherrima Willd. ex Klotzsch
435;Evodia suaveolens Scheff.
436;Excoecaria cochinchinensis Lour.
437;Ficus fistulosa Reinw. ex. Bl
438;Ficus grossularioides Burm.f.
439;Gliricidia sepium (Jacq.) Kunth ex Walp.
440;Gomphrena globosa L.
441;Gossypium herbaceum L.
442;Hemigraphis repanda Hallier f.
443;Heritiera littoralis Aiton
444;Homalomena singaporensis Regel
445;Indigofera tinctoria L.
446;Ixora coccinea L.
447;Leea aculeata Blume ex Spreng.
448;Leucosyke capitellata (Poir.) Wedd.
449;Lycopodiella cernua (L.) Pic. Serm.
450;Macaranga gigantea (Reichb.f. & Zoll.)
451;Maclura cochinchinensis (Lour.) Corner
452;Mentha spicata L.
453;Merremia umbellata (L.) Hallier f.
454;Monstera deliciosa Liebm.
455;Opuntia ficusindica (L.) Mill.
456;Pandanus conoideus Lam.
457;Parkia timoriana (DC.) Merr.
458;Phyllanthus acidus (L.) Skeels
459;Phyllanthus reticulatus Poir.
460;Pilea microphylla (L.) Liebm.
461;Plumeria alba L.
462;Rhizophora mucronata Lam.
463;Rhodamnia cinerea Jack
464;Rubus reflexus Ker Gawl.
465;Santalum album L.
466;Scurrula ferruginea (Jack) Danser
467;Senna siamea (Lam.) H.S.Irwin & Barneby
468;Sida cordifolia L.
469;Solanum nigrum L.
470;Sonneratia alba Sm.
